qpss_conv_gain (fin1=7e+09) X,qpss_conv_gain (fin1=7e+09) Y
-70,10.12322549517128
-65,10.1232701534459
-60,10.12319619795493
-55,10.12296206368445
-50,10.12221697138619
-45,10.11967975787361
-40,10.11232400313548
-35,10.08934320453665
-30,10.01782658579127
-25,9.7757059978382
-20,8.987949521232954
-15,6.614928549614008
-10,1.555410625016107
-5,-4.970032394691025
0,-12.30638797691343
