Conversion Gain (L_swt=4e-08) X,Conversion Gain (L_swt=4e-08) Y
0,14.25222379215365
100000000,14.23010980921234
200000000,14.19075754785794
300000000,14.13446564812684
400000000,14.06172293636168
500000000,13.9731900279053
600000000,13.86967550503414
700000000,13.75210839618026
800000000,13.6215087888146
900000000,13.47895832338933
1000000000,13.32557207788272
1100000000,13.1624730171026
1200000000,12.9907698046579
1300000000,12.81153840902643
1400000000,12.62580761414293
1500000000,12.43454829084539
1600000000,12.23866610507247
1700000000,12.03899722798293
1800000000,11.83630656230331
1900000000,11.63128799455138
2000000000,11.4245662103892
2100000000,11.21669965847876
2200000000,11.00818430621605
2300000000,10.79945789179807
2400000000,10.59090443563508
2500000000,10.38285882743825
2600000000,10.17561135156067
2700000000,9.969412052133739
2800000000,9.764474871129494
2900000000,9.560981517574557
3000000000,9.359085045450655
3100000000,9.158913132301734
3200000000,8.960571061125936
3300000000,8.764144415412993
3400000000,8.56970150210052
3500000000,8.377295520193766
3600000000,8.186966494388709
3700000000,7.998742993411575
3800000000,7.812643652882078
3900000000,7.628678521466803
4000000000,7.446850248314139
