NF_SSB_dB (fin1=7e+09) X,NF_SSB_dB (fin1=7e+09) Y
1000000,11.89356035692156
2000000,11.16538806728929
3000000,10.89295651812594
4000000,10.75021425080111
5000000,10.66239367556122
6000000,10.6029561678701
7000000,10.56009407723294
8000000,10.5277530301239
9000000,10.50250771160867
10000000,10.48227435440189
11000000,10.46571245052504
12000000,10.45192045735985
13000000,10.44026969799553
14000000,10.43030838139878
15000000,10.42170347533448
16000000,10.41420408885187
17000000,10.40761761692912
18000000,10.40179374278119
19000000,10.39661343536251
20000000,10.3919812121396
21000000,10.38781958992207
22000000,10.38406503433237
23000000,10.3806649559716
24000000,10.37757545084105
25000000,10.37475957836193
26000000,10.37218603335049
27000000,10.36982811110257
28000000,10.3676628918659
29000000,10.36567059353775
30000000,10.3638340523357
31000000,10.36213830354178
32000000,10.36057024014341
33000000,10.3591183333839
34000000,10.35777240204126
35000000,10.35652342110488
36000000,10.35536336234266
37000000,10.35428506016147
38000000,10.35328209899236
39000000,10.35234871742241
40000000,10.35147972716331
41000000,10.35067044326017
42000000,10.34991662466395
43000000,10.34921442282289
44000000,10.3485603372708
45000000,10.34795117719086
46000000,10.34738402788814
47000000,10.34685622154376
48000000,10.34636531172221
49000000,10.34590905064648
50000000,10.34548536974508
51000000,10.3450923618377
52000000,10.34472826586522
53000000,10.34439145318099
54000000,10.34408041522603
55000000,10.34379375272983
56000000,10.34353016597724
57000000,10.3432884461287
58000000,10.34306746734182
59000000,10.34286617985683
60000000,10.34268360363583
61000000,10.34251882266435
62000000,10.34237097980454
63000000,10.34223927219033
64000000,10.34212294688921
65000000,10.34202129722538
66000000,10.34193365914342
67000000,10.34185940812687
68000000,10.34179795628558
69000000,10.34174874970235
70000000,10.3417112659776
71000000,10.34168501208939
72000000,10.34166952227549
73000000,10.34166435630222
74000000,10.34166909753624
75000000,10.34168335162656
76000000,10.34170674483693
77000000,10.34173892278665
78000000,10.34177954926839
79000000,10.34182830502617
80000000,10.34188488670373
81000000,10.34194900589788
82000000,10.34202038823672
83000000,10.34209877254415
84000000,10.34218391001464
85000000,10.34227556358671
86000000,10.34237350710199
87000000,10.34247752488812
88000000,10.34258741093342
89000000,10.34270296853816
90000000,10.34282400969819
91000000,10.3429503546515
92000000,10.34308183145035
93000000,10.3432182755125
94000000,10.34335952923514
95000000,10.34350544164867
96000000,10.34365586802114
97000000,10.34381066961946
98000000,10.3439697134208
99000000,10.34413287160145
100000000,10.3443000215349
101000000,10.34447104548554
102000000,10.34464583025944
103000000,10.34482426700228
104000000,10.34500625116408
105000000,10.34519168209419
106000000,10.34538046290659
107000000,10.34557250039735
108000000,10.34576770476102
109000000,10.34596598949824
110000000,10.34616727122857
111000000,10.34637146960139
112000000,10.34657850710325
113000000,10.34678830899357
114000000,10.34700080306924
115000000,10.34721591974365
116000000,10.34743359176997
117000000,10.34765375413131
118000000,10.34787634413892
119000000,10.34810130113702
120000000,10.34832856645499
121000000,10.34855808343617
122000000,10.34878979722352
123000000,10.34902365477926
124000000,10.34925960468382
125000000,10.34949759730695
126000000,10.34973758443891
127000000,10.34997951953998
128000000,10.35022335734916
129000000,10.35046905412938
130000000,10.35071656749613
131000000,10.35096585625874
132000000,10.35121688056018
133000000,10.35146960167538
134000000,10.3517239820903
135000000,10.35197998537657
136000000,10.35223757615856
137000000,10.35249672014328
138000000,10.35275738392993
139000000,10.35301953518195
140000000,10.35328314245102
141000000,10.35354817516542
142000000,10.35381460361809
143000000,10.35408239893119
144000000,10.35435153302185
145000000,10.35462197860614
146000000,10.354893709138
147000000,10.3551666987587
148000000,10.35544092235028
149000000,10.35571627922056
150000000,10.3559929742072
151000000,10.35627075547226
152000000,10.35654967668209
153000000,10.35682971587423
154000000,10.35711085157585
155000000,10.35739306294899
156000000,10.35767632969893
157000000,10.35796063195014
158000000,10.35824595041865
159000000,10.35853226634602
160000000,10.35881956128542
161000000,10.35910781736573
162000000,10.35939701715843
163000000,10.35968714359993
164000000,10.35997818008885
165000000,10.36027011037894
