S21 dB20 (K_in=0.325) X,S21 dB20 (K_in=0.325) Y
2580000000,-17.99453852283215
2590000000,-17.87230061152237
2600000000,-17.75017685226056
2610000000,-17.62816329259858
2620000000,-17.50625601106257
2630000000,-17.38445111647249
2640000000,-17.26274474727785
2650000000,-17.14113307100893
2660000000,-17.01961228364455
2670000000,-16.89817860890751
2680000000,-16.77682829778809
2690000000,-16.65555762792117
2700000000,-16.53436290297515
2710000000,-16.41324045209193
2720000000,-16.29218662933369
2730000000,-16.17119781319807
2740000000,-16.05027040587396
2750000000,-15.92940083299108
2760000000,-15.80858554284499
2770000000,-15.68782100598912
2780000000,-15.56710371469057
2790000000,-15.44643018248837
2800000000,-15.32579694362561
2810000000,-15.20520055253812
2820000000,-15.08463758348716
2830000000,-14.96410462989258
2840000000,-14.84359830413343
2850000000,-14.72311523678541
2860000000,-14.6026520764009
2870000000,-14.48220548888279
2880000000,-14.36177215722442
2890000000,-14.2413487808526
2900000000,-14.12093207540313
2910000000,-14.00051877213192
2920000000,-13.88010561763093
2930000000,-13.7596893732318
2940000000,-13.63926681484197
2950000000,-13.51883473233912
2960000000,-13.39838992915818
2970000000,-13.27792922213917
2980000000,-13.157449440794
2990000000,-13.03694742726881
3000000000,-12.91642003566804
3010000000,-12.79586413183449
3020000000,-12.67527659297618
3030000000,-12.55465430726923
3040000000,-12.43399417344911
3050000000,-12.31329310057476
3060000000,-12.1925480075636
3070000000,-12.07175582285506
3080000000,-11.95091348415744
3090000000,-11.83001793797873
3100000000,-11.7090661393986
3110000000,-11.58805505166469
3120000000,-11.4669816458878
3130000000,-11.34584290072267
3140000000,-11.22463580205037
3150000000,-11.10335734261682
3160000000,-10.98200452179697
3170000000,-10.8605743452108
3180000000,-10.73906382442834
3190000000,-10.61746997673314
3200000000,-10.49578982472438
3210000000,-10.37402039608771
3220000000,-10.25215872329894
3230000000,-10.13020184322473
3240000000,-10.00814679708288
3250000000,-9.885990629849218
3260000000,-9.763730390241047
3270000000,-9.641363130266818
3280000000,-9.51888590503418
3290000000,-9.396295772531442
3300000000,-9.273589793135271
3310000000,-9.150765029625434
3320000000,-9.027818546764717
3330000000,-8.904747411110653
3340000000,-8.7815486906694
3350000000,-8.658219454808551
3360000000,-8.534756773706944
3370000000,-8.411157718518366
3380000000,-8.287419360795937
3390000000,-8.163538772480678
3400000000,-8.039513025385611
3410000000,-7.915339191351913
3420000000,-7.791014341695901
3430000000,-7.666535547071424
3440000000,-7.541899877353644
3450000000,-7.417104401316834
3460000000,-7.292146186446697
3470000000,-7.167022298720313
3480000000,-7.04172980241969
3490000000,-6.916265759927982
3500000000,-6.790627231451295
3510000000,-6.664811275013681
3520000000,-6.538814946079569
3530000000,-6.412635297304171
3540000000,-6.286269378732129
3550000000,-6.159714237191263
3560000000,-6.032966916238617
3570000000,-5.90602445619214
3580000000,-5.778883893707399
3590000000,-5.651542261754158
3600000000,-5.523996589397388
3610000000,-5.39624390167046
3620000000,-5.268281219468998
3630000000,-5.140105559313453
3640000000,-5.011713933276121
3650000000,-4.883103348919259
3660000000,-4.754270808987698
3670000000,-4.625213311454548
3680000000,-4.495927849356417
3690000000,-4.366411410580668
3700000000,-4.236660977952461
3710000000,-4.106673529061556
3720000000,-3.976446036095184
3730000000,-3.845975465874685
3740000000,-3.715258779725114
3750000000,-3.584292933491513
3760000000,-3.453074877244599
3770000000,-3.321601555565636
3780000000,-3.189869907257731
3790000000,-3.057876865446175
3800000000,-2.925619357544612
3810000000,-2.793094305117951
3820000000,-2.66029862401018
3830000000,-2.527229224442547
3840000000,-2.393883010709606
3850000000,-2.260256881578095
3860000000,-2.126347730175053
3870000000,-1.992152443882964
3880000000,-1.857667904702798
3890000000,-1.7228909891849
3900000000,-1.587818568525244
3910000000,-1.45244750861303
3920000000,-1.316774670407219
3930000000,-1.180796909754334
3940000000,-1.044511077681618
3950000000,-0.9079140207062117
3960000000,-0.7710025808689751
3970000000,-0.6337735959339008
3980000000,-0.4962238997071674
3990000000,-0.3583503222086054
4000000000,-0.2201496900642856
4010000000,-0.08161882656281995
4020000000,0.05724544771172402
4030000000,0.1964463148286937
4040000000,0.3359869589880268
4050000000,0.475870566158422
4060000000,0.6161003237444395
4070000000,0.7566794200373879
4080000000,0.8976110438169889
4090000000,1.038898383806585
4100000000,1.180544628201538
4110000000,1.322552964052499
4120000000,1.464926576655214
4130000000,1.607668649041512
4140000000,1.750782361142251
4150000000,1.894270889205626
4160000000,2.038137405021438
4170000000,2.182385075081197
4180000000,2.327017059885705
4190000000,2.472036512825959
4200000000,2.617446579583731
4210000000,2.763250396836757
4220000000,2.909451091624633
4230000000,3.056051779799294
4240000000,3.203055565333941
4250000000,3.350465538848266
4260000000,3.498284776565468
4270000000,3.646516338871503
4280000000,3.795163269030225
4290000000,3.944228591690609
4300000000,4.093715311413654
4310000000,4.24362641098102
4320000000,4.393964850132689
4330000000,4.544733563274923
4340000000,4.695935458005165
4350000000,4.847573413247639
4360000000,4.999650277103447
4370000000,5.152168864830763
4380000000,5.305131956666024
4390000000,5.458542295657343
4400000000,5.61240258514256
4410000000,5.766715486180155
4420000000,5.921483615357156
4430000000,6.076709541476415
4440000000,6.232395783256131
4450000000,6.388544806032455
4460000000,6.545159018911693
4470000000,6.702240771222559
4480000000,6.859792349497362
4490000000,7.017815973553829
4500000000,7.176313793264052
4510000000,7.335287884332699
4520000000,7.494740244559292
4530000000,7.654672789457299
4540000000,7.815087347945457
4550000000,7.975985658023776
4560000000,8.137369361667576
4570000000,8.299240000284545
4580000000,8.461599009156354
4590000000,8.624447712532998
4600000000,8.787787317577244
4610000000,8.951618908928101
4620000000,9.115943442278711
4630000000,9.280761738444518
4640000000,9.446074476589686
