S11 dB20 (Ccomp=3e-14) X,S11 dB20 (Ccomp=3e-14) Y
1000000000,-1.798253299386099
1010000000,-1.799395310128388
1020000000,-1.80054998071058
1030000000,-1.801717351920526
1040000000,-1.802897465065447
1050000000,-1.804090361975794
1060000000,-1.80529608500913
1070000000,-1.806514677054091
1080000000,-1.807746181534412
1090000000,-1.808990642412995
1100000000,-1.810248104196054
1110000000,-1.811518611937295
1120000000,-1.812802211242193
1130000000,-1.814098948272324
1140000000,-1.815408869749723
1150000000,-1.816732022961354
1160000000,-1.818068455763624
1170000000,-1.819418216586965
1180000000,-1.82078135444048
1190000000,-1.822157918916655
1200000000,-1.823547960196156
1210000000,-1.824951529052677
1220000000,-1.82636867685785
1230000000,-1.827799455586275
1240000000,-1.829243917820547
1250000000,-1.830702116756438
1260000000,-1.83217410620808
1270000000,-1.833659940613253
1280000000,-1.835159675038787
1290000000,-1.836673365185961
1300000000,-1.838201067396058
1310000000,-1.839742838655944
1320000000,-1.841298736603749
1330000000,-1.842868819534645
1340000000,-1.844453146406661
1350000000,-1.846051776846637
1360000000,-1.847664771156228
1370000000,-1.84929219031798
1380000000,-1.85093409600154
1390000000,-1.852590550569915
1400000000,-1.854261617085839
1410000000,-1.855947359318215
1420000000,-1.857647841748667
1430000000,-1.85936312957817
1440000000,-1.861093288733778
1450000000,-1.862838385875466
1460000000,-1.864598488403028
1470000000,-1.866373664463117
1480000000,-1.868163982956375
1490000000,-1.86996951354461
1500000000,-1.871790326658176
1510000000,-1.873626493503374
1520000000,-1.875478086069978
1530000000,-1.877345177138894
1540000000,-1.879227840289908
1550000000,-1.881126149909541
1560000000,-1.883040181199019
1570000000,-1.884970010182363
1580000000,-1.886915713714577
1590000000,-1.888877369490003
1600000000,-1.890855056050703
1610000000,-1.892848852795052
1620000000,-1.894858839986405
1630000000,-1.896885098761899
1640000000,-1.898927711141381
1650000000,-1.900986760036464
1660000000,-1.903062329259703
1670000000,-1.905154503533912
1680000000,-1.90726336850164
1690000000,-1.909389010734704
1700000000,-1.911531517743953
1710000000,-1.913690977989109
1720000000,-1.91586748088878
1730000000,-1.918061116830594
1740000000,-1.920271977181498
1750000000,-1.922500154298196
1760000000,-1.924745741537743
1770000000,-1.927008833268276
1780000000,-1.929289524879927
1790000000,-1.931587912795868
1800000000,-1.933904094483525
1810000000,-1.936238168465962
1820000000,-1.938590234333425
1830000000,-1.940960392755036
1840000000,-1.943348745490682
1850000000,-1.945755395403079
1860000000,-1.94818044646997
1870000000,-1.950624003796557
1880000000,-1.95308617362807
1890000000,-1.95556706336256
1900000000,-1.958066781563815
1910000000,-1.96058543797455
1920000000,-1.963123143529713
1930000000,-1.965680010370038
1940000000,-1.968256151855768
1950000000,-1.970851682580593
1960000000,-1.973466718385801
1970000000,-1.976101376374596
1980000000,-1.978755774926698
1990000000,-1.981430033713081
2000000000,-1.984124273710999
2010000000,-1.986838617219183
2020000000,-1.989573187873285
2030000000,-1.992328110661561
2040000000,-1.995103511940764
2050000000,-1.997899519452291
2060000000,-2.00071626233856
2070000000,-2.003553871159656
2080000000,-2.006412477910181
2090000000,-2.009292216036415
2100000000,-2.012193220453672
2110000000,-2.015115627563965
2120000000,-2.018059575273922
2130000000,-2.021025203012962
2140000000,-2.024012651751764
2150000000,-2.027022064020985
2160000000,-2.030053583930307
2170000000,-2.033107357187744
2180000000,-2.036183531119213
2190000000,-2.039282254688483
2200000000,-2.042403678517355
2210000000,-2.045547954906169
2220000000,-2.048715237854659
2230000000,-2.051905683083074
2240000000,-2.055119448053663
2250000000,-2.058356691992468
2260000000,-2.061617575911475
2270000000,-2.064902262631061
2280000000,-2.068210916802876
2290000000,-2.071543704932949
2300000000,-2.074900795405278
2310000000,-2.078282358505716
2320000000,-2.081688566446242
2330000000,-2.08511959338961
2340000000,-2.08857561547439
2350000000,-2.0920568108404
2360000000,-2.095563359654529
2370000000,-2.099095444136947
2380000000,-2.102653248587783
2390000000,-2.106236959414149
2400000000,-2.109846765157649
2410000000,-2.113482856522297
2420000000,-2.117145426402864
2430000000,-2.120834669913715
2440000000,-2.124550784418036
2450000000,-2.12829396955762
2460000000,-2.132064427283024
2470000000,-2.135862361884287
2480000000,-2.139687980022101
2490000000,-2.143541490759464
2500000000,-2.147423105593908
2510000000,-2.151333038490156
2520000000,-2.155271505913385
2530000000,-2.159238726862942
2540000000,-2.163234922906717
2550000000,-2.167260318215922
2560000000,-2.171315139600602
2570000000,-2.17539961654556
2580000000,-2.179513981247002
