freq	dB(S(2,1))
7.30100000000000020E9	-1.19574440858717110E-1
7.40100000000000070E9	-1.11811272358139350E-1
7.50100000000000030E9	-1.02606225965564520E-1
7.60100000000000090E9	-9.25648097582604380E-2
7.70100000000000050E9	-8.24372086492351560E-2
7.80100000000000020E9	-7.31226300813531700E-2
7.90100000000000070E9	-6.56723527375176100E-2
8.00100000000000120E9	-6.12903669324464050E-2
8.10100000000000090E9	-6.13302925804135410E-2
8.20100000000000050E9	-6.72871031890640570E-2
8.30100000000000020E9	-8.07821213550990080E-2
8.40099999999999980E9	-1.03539844068236400E-1
8.50100000000000120E9	-1.37355470654108560E-1
8.60100000000000090E9	-1.84052598145482540E-1
8.70100000000000050E9	-2.45431442118015750E-1
8.80100000000000020E9	-3.23209102080948530E-1
8.90099999999999980E9	-4.18954707161286240E-1
9.00100000000000120E9	-5.34023553279153070E-1
9.10100000000000090E9	-6.69495317240322580E-1
9.20100000000000050E9	-8.26121836462016470E-1
9.30100000000000020E9	-1.00428957371942710E0
9.40099999999999980E9	-1.20400068877528940E0
9.50100000000000120E9	-1.42487474937879480E0
9.60100000000000090E9	-1.66617084822954360E0
9.70100000000000050E9	-1.92682766845389410E0
9.80100000000000020E9	-2.20551726460943480E0
9.90099999999999980E9	-2.50070728396558200E0
1.00010000000000020E10	-2.81072614184971800E0
1.01010000000000000E10	-3.13382619621042210E0
1.02010000000000000E10	-3.46824101880536160E0
1.03009999999999980E10	-3.81223416016008800E0
1.04010000000000000E10	-4.16413810168597200E0
1.05010000000000000E10	-4.52238320003539760E0
1.06009999999999980E10	-4.88551726011868050E0
1.07009999999999980E10	-5.25221690385489290E0
1.08009999999999980E10	-5.62129216378417150E0
1.09010000000000010E10	-5.99168578352082280E0
1.10009999999999990E10	-6.36246861688058640E0
1.11009999999999990E10	-6.73283234415958630E0
1.12009999999999990E10	-7.10208051447648450E0
1.13009999999999990E10	-7.46961871012891620E0
1.14009999999999990E10	-7.83494443273506840E0
1.15009999999999990E10	-8.19763714186457370E0
1.16009999999999990E10	-8.55734873837229770E0
1.17009999999999990E10	-8.91379467588578040E0
1.18009999999999990E10	-9.26674580167099650E0
1.19009999999999990E10	-9.61602096821850340E0
1.20009999999999990E10	-9.96148041501704820E0
1.21010000000000000E10	-1.03030198921065110E1
1.22010000000000000E10	-1.06405654796704630E1
1.23009999999999970E10	-1.09740690483048640E1
1.24010000000000000E10	-1.13035043004329920E1
1.25010000000000000E10	-1.16288633329023860E1
1.26010000000000000E10	-1.19501536628033400E1
1.27009999999999980E10	-1.22673956620459990E1
1.28009999999999980E10	-1.25806203505519500E1
1.29010000000000000E10	-1.28898675025899490E1
1.30010000000000000E10	-1.31951840255006680E1
1.31009999999999980E10	-1.34966225746125000E1
1.32009999999999980E10	-1.37942403724267250E1
1.33009999999999980E10	-1.40880982040823350E1
1.34010000000000010E10	-1.43782595646696710E1
1.35009999999999990E10	-1.46647899371471380E1
1.36009999999999990E10	-1.49477561824394240E1
1.37009999999999990E10	-1.52272260257825140E1
1.38009999999999990E10	-1.55032676255584210E1
1.39009999999999990E10	-1.57759492127608710E1
1.40009999999999990E10	-1.60453387908822580E1
1.41009999999999990E10	-1.63115038874401750E1
1.42009999999999990E10	-1.65745113495969740E1
1.43009999999999990E10	-1.68344271773901390E1
1.44009999999999990E10	-1.70913163890092030E1
1.45009999999999990E10	-1.73452429133442430E1
1.46010000000000000E10	-1.75962695057103820E1
1.47010000000000000E10	-1.78444576832355150E1
1.48009999999999970E10	-1.80898676769003570E1
1.49010000000000000E10	-1.83325583976496390E1
1.50010000000000000E10	-1.85725874143632490E1
1.51010000000000000E10	-1.88100109417929810E1
1.52009999999999980E10	-1.90448838368430670E1
1.53009999999999980E10	-1.92772596018061520E1
1.54010000000000000E10	-1.95071903933675440E1
1.55010000000000000E10	-1.97347270363623360E1
1.56009999999999980E10	-1.99599190414183390E1
