"Z11 reOhm (L=4e-08,M=10) X","Z11 reOhm (L=4e-08,M=10) Y","Z11 reOhm (L=4e-08,M=20) X","Z11 reOhm (L=4e-08,M=20) Y","Z11 reOhm (L=8e-08,M=10) X","Z11 reOhm (L=8e-08,M=10) Y","Z11 reOhm (L=8e-08,M=20) X","Z11 reOhm (L=8e-08,M=20) Y"
0.4900000000000003,9.972242720625388,0.4900000000000003,17.87457928758014,0.4900000000000003,2.529791671014808,0.4900000000000003,5.380118678434821
0.5000000000000002,10.42262736902883,0.5000000000000002,18.46529060461811,0.5000000000000002,2.769210661023976,0.5000000000000002,5.876812773664404
0.5100000000000002,10.85839708815852,0.5100000000000002,19.00941486444199,0.5100000000000002,3.0160377066224,0.5100000000000002,6.38592973307678
0.5200000000000002,11.27756504915384,0.5200000000000002,19.50663299728974,0.5200000000000002,3.268582506178343,0.5200000000000002,6.903438056511006
0.5300000000000002,11.67854602217115,0.5300000000000002,19.95765099029411,0.5300000000000002,3.5250736138672,0.5300000000000002,7.425188077183168
0.5400000000000003,12.06016206788015,0.5400000000000003,20.36402962868194,0.5400000000000003,3.783718332784304,0.5400000000000003,7.947064351755148
0.5500000000000003,12.42163004396663,0.5500000000000003,20.72799641409615,0.5500000000000003,4.042760961827189,0.5500000000000003,8.46512958343369
0.5600000000000003,12.76253449793489,0.5600000000000003,21.05225726165271,0.5600000000000003,4.300535308402507,0.5600000000000003,8.975749247482758
0.5700000000000003,13.08278999589706,0.5700000000000003,21.3398215195681,0.5700000000000003,4.55550832231903,0.5700000000000003,9.475689105443607
0.5800000000000003,13.38271687861517,0.5800000000000003,21.59395843508609,0.5800000000000003,4.806312903168489,0.5800000000000003,9.962181462004796
0.5900000000000003,13.66249993208963,0.5900000000000003,21.81761635233654,0.5900000000000003,5.051769172834071,0.5900000000000003,10.43295966528234
0.6000000000000003,13.92290545127632,0.6000000000000003,22.01403748092808,0.6000000000000003,5.290894608108943,0.6000000000000003,10.88626342618002
0.6100000000000003,14.16471126399679,0.6100000000000003,22.18618934898726,0.6100000000000003,5.52290427572614,0.6100000000000003,11.32081969355835
0.6200000000000003,14.38880167622191,0.6200000000000003,22.3368473958745,0.6200000000000003,5.747202952106778,0.6200000000000003,11.73580498014142
0.6300000000000003,14.59613158154415,0.6300000000000003,22.46856649746124,0.6300000000000003,5.963371151276283,0.6300000000000003,12.13079527368763
0.6400000000000003,14.78769595166922,0.6400000000000003,22.58366809464074,0.6400000000000003,6.171147074642593,0.6400000000000003,12.50570921031225
0.6500000000000004,14.9645045873184,0.6500000000000004,22.68423900558144,0.6500000000000004,6.370406306508507,0.6500000000000004,12.86074928712905
0.6600000000000004,15.12756184213276,0.6600000000000004,22.77213858141988,0.6600000000000004,6.561140780695061,0.6600000000000004,13.19634478741921
0.6700000000000004,15.27785085626576,0.6700000000000004,22.84901143016872,0.6700000000000004,6.743486762543925,0.6700000000000004,13.51319022465357
0.6800000000000004,15.41632174500625,0.6800000000000004,22.91630350773026,0.6800000000000004,6.917506577069793,0.6800000000000004,13.81182348570255
0.6900000000000004,15.54388315841649,0.6900000000000004,22.97527990304756,0.6900000000000004,7.083477124624786,0.6900000000000004,14.09316350333521
0.7000000000000004,15.661396642172,0.7000000000000004,23.02704309956558,0.7000000000000004,7.241665326057302,0.7000000000000004,14.35807996214461
0.7100000000000004,15.76967327140474,0.7100000000000004,23.07255086830164,0.7100000000000004,7.392368718117604,0.7100000000000004,14.60746812612842
0.7200000000000004,15.86947208616019,0.7200000000000004,23.11263324110747,0.7200000000000004,7.535904466526317,0.7200000000000004,14.84222723376702
0.7300000000000004,15.96149992013877,0.7300000000000004,23.14800823519926,0.7300000000000004,7.672600420460577,0.7300000000000004,15.06324403643096
0.7400000000000004,16.04641227767455,0.7400000000000004,23.17929616279404,0.7400000000000004,7.802787976331785,0.7400000000000004,15.27138065603872
0.7500000000000004,16.12481497344972,0.7500000000000004,23.20703247417385,0.7500000000000004,7.926796523327257,0.7500000000000004,15.46746602112654
0.7600000000000005,16.19726630342876,0.7600000000000005,23.23167915979159,0.7600000000000005,8.044949238596885,0.7600000000000005,15.65229019633655
0.7700000000000005,16.2642795623665,0.7700000000000005,23.25363478604333,0.7700000000000005,8.157560009900168,0.7700000000000005,15.82660099843156
0.7800000000000005,16.32632576362268,0.7800000000000005,23.27324326779367,0.7800000000000005,8.264931281343992,0.7800000000000005,15.99110237913232
0.7900000000000005,16.38383645041279,0.7900000000000005,23.29080149451543,0.7900000000000005,8.367352641252181,0.7900000000000005,16.14645413850979
0.8000000000000005,16.43720651533553,0.8000000000000005,23.30656593095859,0.8000000000000005,8.465099995201713,0.8000000000000005,16.29327261286808
0.8100000000000005,16.48679696720649,0.8100000000000005,23.32075831046406,0.8100000000000005,8.558435191443808,0.8100000000000005,16.43213205102796
0.8200000000000005,16.53293760207944,0.8200000000000005,23.3335705324884,0.8200000000000005,8.647605988644623,0.8200000000000005,16.56356645352777
0.8300000000000005,16.57592954932101,0.8300000000000005,23.34516886689176,0.8300000000000005,8.732846275675231,0.8300000000000005,16.68807170115186
0.8400000000000005,16.61604767443086,0.8400000000000005,23.3556975577241,0.8400000000000005,8.814376471231638,0.8400000000000005,16.80610784006998
0.8500000000000005,16.65354282866245,0.8500000000000005,23.36528190896957,0.8500000000000005,8.8924040459104,0.8500000000000005,16.91810142583434
0.8600000000000005,16.68864394174875,0.8600000000000005,23.37403092508913,0.8600000000000005,8.967124122240097,0.8600000000000005,17.02444785514289
0.8700000000000006,16.72155995870945,0.8700000000000006,23.38203956981347,0.8700000000000006,9.038720118705195,0.8700000000000006,17.12551363598544
0.8800000000000006,16.7524816250748,0.8800000000000006,23.38939069840859,0.8800000000000006,9.107364412152318,0.8800000000000006,17.2216385621366
0.8900000000000006,16.78158312729786,0.8900000000000006,23.39615671102089,0.8900000000000006,9.173219000139877,0.8900000000000006,17.31313777234422
0.9000000000000006,16.8090235967227,0.9000000000000006,23.4024009680949,0.9000000000000006,9.236436150249332,0.9000000000000006,17.4003036822773
0.9100000000000006,16.83494848659821,0.9100000000000006,23.408179002948,0.9100000000000006,9.297159027665712,0.9100000000000006,17.48340778549501
0.9200000000000006,16.85949083213919,0.9200000000000006,23.41353956155542,0.9200000000000006,9.355522295819659,0.9200000000000006,17.56270232397122
0.9300000000000006,16.88277240403174,0.9300000000000006,23.41852549515329,0.9300000000000006,9.411652687573865,0.9300000000000006,17.63842183284198
0.9400000000000006,16.90490476570809,0.9400000000000006,23.42317452747455,0.9400000000000006,9.465669546146854,0.9400000000000006,17.71078456633436
0.9500000000000006,16.92599024442121,0.9500000000000006,23.42751991519522,0.9500000000000006,9.517685336772747,0.9500000000000006,17.77999381302136
0.9600000000000006,16.94612282592808,0.9600000000000006,23.43159101734445,0.9600000000000006,9.56780613076323,0.9600000000000006,17.84623910970741
0.9700000000000006,16.96538898172647,0.9700000000000006,23.43541378703084,0.9700000000000006,9.616132064371948,0.9700000000000006,17.90969736323768
0.9800000000000006,16.98386843728462,0.9800000000000006,23.43901119679308,0.9800000000000006,9.66275777507404,0.9800000000000006,17.97053388942492
0.9900000000000007,17.00163488855987,0.9900000000000007,23.44240360710966,0.9900000000000007,9.707772817822633,0.9900000000000007,18.02890337725349
1,17.0187566732782,1,23.44560908606642,1,9.751262063494313,1,18.08495078659984
