"Z11 imOhm (L=4e-08,M=10) X","Z11 imOhm (L=4e-08,M=10) Y","Z11 imOhm (L=4e-08,M=20) X","Z11 imOhm (L=4e-08,M=20) Y","Z11 imOhm (L=8e-08,M=10) X","Z11 imOhm (L=8e-08,M=10) Y","Z11 imOhm (L=8e-08,M=20) X","Z11 imOhm (L=8e-08,M=20) Y"
0,44.84478078422173,0,45.73744151739599,0,44.8109587903502,0,45.67013449307559
0.01,44.84464176181962,0.01,45.73717767287647,0.01,44.8107394789638,0.01,45.6696923094558
0.02,44.84450593862977,0.02,45.73692339936017,0.02,44.81051614302496,0.02,45.66924102491992
0.03,44.84437490436999,0.03,45.73668276219578,0.03,44.81028811381253,0.03,45.6687793297727
0.04,44.84425071540817,0.04,45.73646094146352,0.04,44.81005470971019,0.04,45.66830592139087
0.05,44.844135969855,0.05,45.73626439188539,0.05,44.8098152456802,0.05,45.66781953469037
0.06,44.84403308649895,0.06,45.73609962081365,0.06,44.80956807582811,0.06,45.66731678864323
0.07000000000000001,44.84394546878863,0.07000000000000001,45.7359741146922,0.07000000000000001,44.80931091829066,0.07000000000000001,45.66679323469005
0.08,44.84387893795193,0.08,45.73590175795247,0.08,44.80904589162628,0.08,45.6662538480505
0.09,44.84383860606408,0.09,45.7358941602635,0.09,44.80877250062987,0.09,45.66569812182354
0.09999999999999999,44.84382999008232,0.09999999999999999,45.73596314761155,0.09999999999999999,44.80849038539365,0.09999999999999999,45.66512599723915
0.11,44.8438586392436,0.11,45.73611936016275,0.11,44.80819938054233,0.11,45.66453803451835
0.12,44.8439294930735,0.12,45.73636991603765,0.12,44.80789959166497,0.12,45.66393563143463
0.13,44.84404586393392,0.13,45.73671475367452,0.13,44.80759149270948,0.13,45.66332129925145
0.14,44.8442079198997,0.14,45.73714118116932,0.14,44.80727604840803,0.14,45.66269900576106
0.15,44.84441053479372,0.15,45.73761610059353,0.15,44.80695486578672,0.15,45.66207459372347
0.16,44.84464037850594,0.16,45.73807536456169,0.16,44.80663037813892,0.16,45.66145627884201
0.17,44.84487214845534,0.17,45.73840978999596,0.17,44.80630606304537,0.17,45.66085522279776
0.18,44.84506389520341,0.18,45.73844751963651,0.18,44.80598669244863,0.18,45.6602861616518
0.19,44.84515147207971,0.19,45.73793269192301,0.19,44.80567860663741,0.19,45.65976804590422
0.2,44.84504223842341,0.2,45.73650074736342,0.2,44.80538999455332,0.2,45.65932461483118
0.21,44.84460826496711,0.21,45.7336511530392,0.21,44.80513115004707,0.21,45.65898478739756
0.2200000000000001,44.84367941588097,0.2200000000000001,45.72871884310553,0.2200000000000001,44.80491465915605,0.2200000000000001,45.65878271515744
0.2300000000000001,44.84203678696633,0.2300000000000001,45.7208461874079,0.2300000000000001,44.80475546133992,0.2300000000000001,45.65875732740526
0.2400000000000001,44.83940701906538,0.2400000000000001,45.70895767295102,0.2400000000000001,44.80467072434033,0.2400000000000001,45.65895122490969
0.2500000000000001,44.83545793822617,0.2500000000000001,45.69173953070542,0.2500000000000001,44.80467948359396,0.2500000000000001,45.6594088475934
0.2600000000000001,44.82979578777874,0.2600000000000001,45.66762612864835,0.2600000000000001,44.80480202076013,0.2600000000000001,45.66017391617292
0.2700000000000001,44.82196404801718,0.2700000000000001,45.63479410845829,0.2700000000000001,44.80505897941839,0.2700000000000001,45.66128616166766
0.2800000000000001,44.81144356545077,0.2800000000000001,45.59116419507564,0.2800000000000001,44.80547022283939,0.2800000000000001,45.66277727090957
0.2900000000000001,44.7976535330552,0.2900000000000001,45.53440973006768,0.2900000000000001,44.80605342622544,0.2900000000000001,45.66466584375577
0.3000000000000001,44.7799528584969,0.3000000000000001,45.46197066327153,0.3000000000000001,44.80682238092424,0.3000000000000001,45.66695109600833
0.3100000000000001,44.75764166682767,0.3100000000000001,45.37107224600054,0.3100000000000001,44.8077849930597,0.3100000000000001,45.66960512620144
0.3200000000000001,44.72996308397381,0.3200000000000001,45.25874901681928,0.3200000000000001,44.80894098775787,0.3200000000000001,45.67256375319938
0.3300000000000001,44.69610595594173,0.3300000000000001,45.12187658356298,0.3300000000000001,44.81027936600734,0.3300000000000001,45.67571611688447
0.3400000000000001,44.65520965703653,0.3400000000000001,44.95721566738642,0.3400000000000001,44.81177568273957,0.3400000000000001,45.67889333376862
0.3500000000000001,44.60637250305237,0.3500000000000001,44.76147425315114,0.3500000000000001,44.81338921267623,0.3500000000000001,45.68185650487985
0.3600000000000002,44.54866540630871,0.3600000000000002,44.53139388136483,0.3600000000000002,44.81506005203677,0.3600000000000002,45.68428433705489
0.3700000000000002,44.48115222031871,0.3700000000000002,44.26386468553441,0.3700000000000002,44.81670618929939,0.3700000000000002,45.68576064365367
0.3800000000000002,44.40291769942063,0.3800000000000002,43.95607055840658,0.3800000000000002,44.81822059059185,0.3800000000000002,45.68576211886629
0.3900000000000002,44.31310316702469,0.3900000000000002,43.60566100108903,0.3900000000000002,44.81946840329126,0.3900000000000002,45.68364708519753
0.4000000000000002,44.21094891776241,0.4000000000000002,43.21094033374809,0.4000000000000002,44.82028448884997,0.4000000000000002,45.67864639360209
0.4100000000000002,44.09584119639408,0.4100000000000002,42.77105897463925,0.4100000000000002,44.8204716372398,0.4100000000000002,45.66985823435162
0.4200000000000002,43.96736046701263,0.4200000000000002,42.28618666761783,0.4200000000000002,44.81979995722192,0.4200000000000002,45.65624915182945
0.4300000000000002,43.82532680714952,0.4300000000000002,41.75764518025903,0.4300000000000002,44.81800803444118,0.4300000000000002,45.63666386272588
