"/M0/D (L=4e-08,M=10) X","/M0/D (L=4e-08,M=10) Y","/M0/D (L=4e-08,M=20) X","/M0/D (L=4e-08,M=20) Y","/M0/D (L=8e-08,M=10) X","/M0/D (L=8e-08,M=10) Y","/M0/D (L=8e-08,M=20) X","/M0/D (L=8e-08,M=20) Y"
0.7500000000000004,0.005901411204873106,0.7500000000000004,0.011512677635547,0.7500000000000004,0.003099892757789193,0.7500000000000004,0.006174466156727454
0.7600000000000005,0.006114357992136887,0.7600000000000005,0.01193517703589781,0.7600000000000005,0.003255978004457169,0.7600000000000005,0.006485048678441062
0.7700000000000005,0.006328397362929944,0.7700000000000005,0.01235997823925277,0.7700000000000005,0.003414234135091291,0.7700000000000005,0.006799947901113491
0.7800000000000005,0.006543425498872678,0.7800000000000005,0.01278686703482993,0.7800000000000005,0.003574531429065972,0.7800000000000005,0.007118906629459965
0.7900000000000005,0.00675934650790787,0.7900000000000005,0.01321564535876825,0.7900000000000005,0.003736746678468914,0.7900000000000005,0.007441680546016302
0.8000000000000005,0.006976071895699637,0.8000000000000005,0.01364613024058766,0.8000000000000005,0.003900762945646466,0.8000000000000005,0.007768037729752664
0.8100000000000005,0.007193520052078,0.8100000000000005,0.01407815277503623,0.8100000000000005,0.00406646929560473,0.8100000000000005,0.008097758125848606
0.8200000000000005,0.00741161575699767,0.8200000000000005,0.01451155712934671,0.8200000000000005,0.004233760513874444,0.8200000000000005,0.008430632987401021
0.8300000000000005,0.007630289709108778,0.8300000000000005,0.01494619959300016,0.8300000000000005,0.004402536818081827,0.8300000000000005,0.008766464305192446
0.8400000000000005,0.007849478078927148,0.8400000000000005,0.01538194767471094,0.8400000000000005,0.004572703569502017,0.8400000000000005,0.009105064237790367
0.8500000000000005,0.008069122087706486,0.8500000000000005,0.01581867924943805,0.8500000000000005,0.004744170989262009,0.8500000000000005,0.009446254551093217
0.8600000000000005,0.008289167612419851,0.8600000000000005,0.01625628175671887,0.8600000000000005,0.004916853882560882,0.8600000000000005,0.009789866073893295
0.8700000000000006,0.008509564816721988,0.8700000000000006,0.01669465145045094,0.8700000000000006,0.005090671373240476,0.8700000000000006,0.01013573817400088
0.8800000000000006,0.008730267807361754,0.8800000000000006,0.01713369269935764,0.8800000000000006,0.005265546650227018,0.8800000000000006,0.01048371825788338
0.8900000000000006,0.008951234315217759,0.8900000000000006,0.01757331733671506,0.8900000000000006,0.005441406726735554,0.8900000000000006,0.0108336612955442
0.9000000000000006,0.009172425399923495,0.9000000000000006,0.01801344405744523,0.9000000000000006,0.005618182212650201,0.9000000000000006,0.01118542937142976
0.9100000000000006,0.009393805176909752,0.9100000000000006,0.01845399786036088,0.9100000000000006,0.005795807100135785,0.9100000000000006,0.01153889126145418
0.9200000000000006,0.009615340565610244,0.9200000000000006,0.01889490953314371,0.9200000000000006,0.005974218562275209,0.9200000000000006,0.01189392203572264
0.9300000000000006,0.009837001057535934,0.9300000000000006,0.01933611517753061,0.9300000000000006,0.006153356764342273,0.9300000000000006,0.01225040268617299
0.9400000000000006,0.01005875850291724,0.9400000000000006,0.01977755577214591,0.9400000000000006,0.006333164687194137,0.9400000000000006,0.01260821977811183
0.9500000000000006,0.01028058691463131,0.9500000000000006,0.02021917677043439,0.9500000000000006,0.00651358796218817,0.9500000000000006,0.01296726512446644
0.9600000000000006,0.01050246228816691,0.9600000000000006,0.02066092773120977,0.9600000000000006,0.006694574716982701,0.9600000000000006,0.01332743548148664
0.9700000000000006,0.010724362436429,0.9700000000000006,0.02110276197941881,0.9700000000000006,0.0068760754315626,0.9700000000000006,0.01368863226459572
0.9800000000000006,0.0109462668382418,0.9800000000000006,0.02154463629482927,0.9800000000000006,0.007058042803830425,0.9800000000000006,0.01405076128308947
0.9900000000000007,0.01116815649947212,0.9900000000000007,0.02198651062646919,0.9900000000000007,0.007240431624117615,0.9900000000000007,0.0144137324924108
1,0.01139001382576023,1,0.02242834783077211,1,0.007423198657993359,1,0.01477745976277304
