sp_Tn (Tdiff_R=-294.5) X,sp_Tn (Tdiff_R=-294.5) Y
4000000000,720.4301658426498
4100000000,631.9463918652597
4200000000,553.4713773758725
4300000000,484.0409967739543
4400000000,422.7019768610051
4500000000,368.6625302277844
4600000000,321.2206148750453
4700000000,279.6826525831646
4800000000,243.4861360067463
4900000000,212.107467209165
5000000000,185.0198678873026
5100000000,161.803596964284
5200000000,142.0351439085101
5300000000,125.3531101060965
5400000000,111.4257502278062
5500000000,99.94398435631813
5600000000,90.6151141303822
5700000000,83.19003315722986
5800000000,77.44062566424041
5900000000,73.140704384996
6000000000,70.11335984077134
6100000000,68.16586022906922
6200000000,67.15794665653215
6300000000,66.94188121798688
6400000000,67.38769767894144
6500000000,68.39619220951914
6600000000,69.86724020695488
6700000000,71.71952817114351
6800000000,73.88812715980959
6900000000,76.32136529467877
7000000000,78.9742383478292
7100000000,81.82399310374791
7200000000,84.85083034477758
7300000000,88.05902535750911
7400000000,91.45572392479534
7500000000,95.06537795915793
7600000000,98.91871906506191
7700000000,103.0751268515472
7800000000,107.6030621640131
7900000000,112.5753560235774
8000000000,118.0830906361158
8100000000,124.2312919214141
8200000000,131.1298688868293
8300000000,138.890880609962
8400000000,147.6820572081885
8500000000,157.6410466745109
8600000000,168.9516069341183
8700000000,181.8172688366018
8800000000,196.4321142140556
8900000000,213.0090579040286
9000000000,231.8017138559021
9100000000,253.0770995362606
9200000000,277.0852242961182
9300000000,304.1342264951905
9400000000,334.5316376802645
9500000000,368.6042181214781
9600000000,406.6965738255344
9700000000,449.1973430203792
9800000000,496.4995129480629
9900000000,549.0026079117284
10000000000,607.1165732718254
