S22  X,S22  YRe,S22  YReImag
4000000000,0.8744207029465032,-0.4031676748388935
4100000000,0.8691411481152522,-0.4205512380360615
4200000000,0.8634455267915602,-0.4380913794368596
4300000000,0.8572549981393189,-0.4558075340341464
4400000000,0.8504854722345949,-0.473705912168668
4500000000,0.8430311035290006,-0.4917680582654225
4600000000,0.8347840267176252,-0.5099618641592014
4700000000,0.8256182987699152,-0.5282179850058669
4800000000,0.8154191058012601,-0.5464359547836004
4900000000,0.8040803692771539,-0.5644625787906982
5000000000,0.7915155577508939,-0.5821128333744646
5100000000,0.7776905772719966,-0.5991481276395336
5200000000,0.76261472125478,-0.6153156329607501
5300000000,0.7464057394583479,-0.6303376800754282
5400000000,0.7292334658951607,-0.643955765040249
5500000000,0.7113824640871971,-0.6559729069359587
5600000000,0.6931518032656301,-0.6662612501926529
5700000000,0.6749184728691109,-0.6747910277840482
5800000000,0.6570119433851296,-0.6816435845524635
5900000000,0.6397418635881262,-0.686996384156854
6000000000,0.6233390281215827,-0.6910714986130388
6100000000,0.6079314749844167,-0.6941584778179924
6200000000,0.5935920579855727,-0.6965290689846998
6300000000,0.580303607086353,-0.6984483191272928
6400000000,0.5679867113072028,-0.7001240308894398
6500000000,0.5565428052881765,-0.7017434593579864
6600000000,0.5458441414313451,-0.7034286999309302
6700000000,0.5357562056613494,-0.7052590727175654
6800000000,0.5261595259103791,-0.7073018630746186
6900000000,0.5169182832727726,-0.7095512362416742
7000000000,0.5079487236581526,-0.7120251916834834
7100000000,0.4991550431008898,-0.7146946826128781
7200000000,0.4904616154644914,-0.7175388487391028
7300000000,0.4818067156806536,-0.7205156657634757
7400000000,0.4731437785411563,-0.7235786069041887
7500000000,0.4644447797698055,-0.7266788476114848
7600000000,0.4556740150061989,-0.7297796322204232
7700000000,0.4468332234559729,-0.7328258503740509
7800000000,0.437902473624642,-0.7357733302044832
7900000000,0.4289101120983789,-0.7385713514633383
8000000000,0.4198618641043514,-0.7411904769089425
8100000000,0.4107851162328882,-0.7435902883870995
8200000000,0.4017150532131906,-0.7457432579996285
8300000000,0.392678958716274,-0.7476459593545295
8400000000,0.3837106221259621,-0.7492833049480382
8500000000,0.3748589038923962,-0.7506573251983415
8600000000,0.3661520273371304,-0.7517616297834843
8700000000,0.3576210132875013,-0.7526101221123923
8800000000,0.349304275070814,-0.7532393404533028
8900000000,0.3412252872820107,-0.753668397333077
9000000000,0.3334069127731791,-0.7539247419939946
9100000000,0.3258652934335426,-0.7540411788959278
9200000000,0.3186079803837749,-0.7540571313568519
9300000000,0.3116275307452703,-0.7540067187621077
9400000000,0.3049225379059244,-0.7539245446534508
9500000000,0.2984820662982108,-0.7538420823942723
9600000000,0.2922898963390315,-0.7537866073348046
9700000000,0.2863241399787995,-0.7537742281336316
9800000000,0.2805700257993777,-0.7538256658710976
9900000000,0.2750034635420036,-0.7539558325295826
10000000000,0.2695990532661372,-0.754174155967161
