Kf_formula (Tdiff_R=-294.5) X,Kf_formula (Tdiff_R=-294.5) Y
4000000000,1.306018664502593
4100000000,1.200014443487949
4200000000,1.110532786711672
4300000000,1.034731306089253
4400000000,0.9712173582805531
4500000000,0.9190860838064627
4600000000,0.8766483467618483
4700000000,0.8432222417024786
4800000000,0.8177272333971779
4900000000,0.7994669158563947
5000000000,0.7877971012957123
5100000000,0.7821633183830662
5200000000,0.782029517981465
5300000000,0.7869012474744507
5400000000,0.796506332422638
5500000000,0.8103511200431286
5600000000,0.8282339102518483
5700000000,0.849841716524497
5800000000,0.8750626835119106
5900000000,0.9034626798618182
6000000000,0.9351317770274822
6100000000,0.9697132686870438
6200000000,1.007177971480056
6300000000,1.047344742452628
6400000000,1.090104530857602
6500000000,1.135402827292335
6600000000,1.183175344612615
6700000000,1.233323126094311
6800000000,1.285676691445682
6900000000,1.340592788158238
7000000000,1.397710145371255
7100000000,1.45696674876793
7200000000,1.518400748025182
7300000000,1.582134345043609
7400000000,1.648008234223848
7500000000,1.716122761150529
7600000000,1.786248308136652
7700000000,1.858724024808978
7800000000,1.933719508666778
7900000000,2.011228731666073
8000000000,2.091034322082532
8100000000,2.1735388940368
8200000000,2.258579671244483
8300000000,2.345802652602745
8400000000,2.435508576058763
8500000000,2.527417270426788
8600000000,2.621961654352252
8700000000,2.719688483625555
8800000000,2.819848321032788
8900000000,2.922614921504427
9000000000,3.028296433968256
9100000000,3.137160260018029
9200000000,3.249450739629107
9300000000,3.364764574922252
9400000000,3.483264083599698
9500000000,3.605088241597577
9600000000,3.73044097793719
9700000000,3.859571037407798
9800000000,3.992514114316652
9900000000,4.129312545757915
10000000000,4.269995253992485
