pss_vout_LNA (pin=-50) X,pss_vout_LNA (pin=-50) Y
-90,0.0001146637392320313
-80,0.0003607966504242294
-70,0.001142850737988245
-60,0.003602028246250464
-50,0.01138085541656483
-40,0.03601667987317034
-30,0.1103628683330031
-20,0.2495258618125137
-10,0.3373366113134812
