sp_NF_dB (par_LNA_STG1_Cin2=0) X,sp_NF_dB (par_LNA_STG1_Cin2=0) Y
4000000000,11.84559760798905
4100000000,11.06194763036224
4200000000,10.29842010613741
4300000000,9.559233696396102
4400000000,8.846881425398983
4500000000,8.166058682489997
4600000000,7.51924178922847
4700000000,6.91018272976771
4800000000,6.341646314028725
4900000000,5.816415048294581
5000000000,5.335758904597679
5100000000,4.900639830744966
5200000000,4.511290542887395
5300000000,4.16634967350629
5400000000,3.864350423703317
5500000000,3.602327112458481
5600000000,3.378263945575592
5700000000,3.188032402510871
5800000000,3.028909075359994
5900000000,2.897040846379477
6000000000,2.789599471082252
6100000000,2.703159915281152
6200000000,2.636050096497535
6300000000,2.584586515360891
6400000000,2.547165928520393
6500000000,2.521956953716975
6600000000,2.507494321615167
6700000000,2.502236999481567
6800000000,2.50547499181153
6900000000,2.516145876580902
7000000000,2.533982578129648
7100000000,2.558573382299316
7200000000,2.589505552303914
7300000000,2.627370518254267
7400000000,2.671956201251739
7500000000,2.724079912763524
7600000000,2.783922869465653
7700000000,2.852794848855499
7800000000,2.931125868082568
7900000000,3.020390753136137
8000000000,3.121676806086619
8100000000,3.236638706139694
8200000000,3.366460468404678
8300000000,3.513271639062769
8400000000,3.678814328022714
8500000000,3.864967925415331
8600000000,4.073353806646928
8700000000,4.306176209384518
8800000000,4.566271064672343
8900000000,4.854542733773367
9000000000,5.172884606788659
9100000000,5.522873542768112
9200000000,5.905629277832725
9300000000,6.322019803017204
9400000000,6.771903466180444
9500000000,7.254836142078345
9600000000,7.76994865509902
9700000000,8.316111696426427
9800000000,8.891172307550391
9900000000,9.49290316946203
10000000000,10.11879188031177
