pss_vout_LNA (pin=-50) X,pss_vout_LNA (pin=-50) Y
-90,2.42666855585143e-08
-80,7.672876207067106e-08
-70,2.423386273926956e-07
-60,7.542352461496633e-07
-50,1.826940973912961e-06
-40,7.409301840469079e-06
-30,3.201803273732198e-05
-20,0.000166908938289465
-10,0.0001553319367427276
0,0.000639107810702203
10,0.001223778499573552
