pss_vout_LNA_Fund (par_LNA_STG1_Cin2=0) X,pss_vout_LNA_Fund (par_LNA_STG1_Cin2=0) Y
-90,0.0006846127051576368
-80,0.002164935007362459
-70,0.00684611225172367
-60,0.02164887870475007
-50,0.06844620234337985
-40,0.2160165398831927
-30,0.6693101327363992
-20,1.629652707658056
-10,2.313786163663407
