sp_NF_dB (Tdiff_R=0) X,sp_NF_dB (Tdiff_R=0) Y
4000000000,6.655081375054561
4100000000,6.294690974231127
4200000000,5.944821626922304
4300000000,5.606606065859965
4400000000,5.280410273984258
4500000000,4.96798884649038
4600000000,4.669821814870438
4700000000,4.387253633821237
4800000000,4.120702579633788
4900000000,3.871945167775011
5000000000,3.640636097705291
5100000000,3.427803893225319
5200000000,3.233636370061739
5300000000,3.05831471750697
5400000000,2.90179811551093
5500000000,2.763911931724241
5600000000,2.643779562928254
5700000000,2.540898180616948
5800000000,2.454889940582163
5900000000,2.384082689208183
6000000000,2.328245007151093
6100000000,2.285380681758117
6200000000,2.25520937682356
6300000000,2.236280274728657
6400000000,2.227149009578274
6500000000,2.227446957115262
6600000000,2.235913103076656
6700000000,2.251615522570937
6800000000,2.274001810132716
6900000000,2.302462213044365
7000000000,2.33622726863854
7100000000,2.375120677327846
7200000000,2.418534478956397
7300000000,2.466636095080271
7400000000,2.519030260155893
7500000000,2.575814013012948
7600000000,2.6368240165649
7700000000,2.702653211926132
7800000000,2.773684596269786
7900000000,2.850092984302642
8000000000,2.932201587538689
8100000000,3.02041505641518
8200000000,3.115002242308082
8300000000,3.216057376002921
8400000000,3.324552783106735
8500000000,3.440680481607876
8600000000,3.564750952726251
8700000000,3.697603901689219
8800000000,3.839748647301753
8900000000,3.991046481155473
9000000000,4.15189340949138
9100000000,4.322580453449005
9200000000,4.503376822322805
9300000000,4.694164305657475
9400000000,4.894749285686157
9500000000,5.104979530639598
9600000000,5.324738245009053
9700000000,5.553878066091567
9800000000,5.791793211055282
9900000000,6.037935535945149
10000000000,6.291647681027388
