sp_S21_dB (Tdiff_R=0) X,sp_S21_dB (Tdiff_R=0) Y
4000000000,11.42225847184383
4100000000,11.9245773712992
4200000000,12.4262365722389
4300000000,12.92667307524738
4400000000,13.42447176014849
4500000000,13.91693064256707
4600000000,14.40199504761057
4700000000,14.87644795048274
4800000000,15.33700571547165
4900000000,15.77801043943082
5000000000,16.1964618323562
5100000000,16.58602813200259
5200000000,16.94303857005736
5300000000,17.26135101524673
5400000000,17.53711887326603
5500000000,17.76660707594865
5600000000,17.9487499177364
5700000000,18.08189190392904
5800000000,18.16756506276173
5900000000,18.20829185873773
6000000000,18.20694629936592
6100000000,18.16945752666048
6200000000,18.09940682858446
6300000000,18.00202257478705
6400000000,17.88329367923697
6500000000,17.74626871795105
6600000000,17.59549246061552
6700000000,17.43429079736197
6800000000,17.26505631386885
6900000000,17.09022070743683
7000000000,16.910897210797
7100000000,16.72829678982794
7200000000,16.54300096390588
7300000000,16.35548060053049
7400000000,16.16555872150633
7500000000,15.97271984908559
7600000000,15.77699022559591
7700000000,15.57675986670236
7800000000,15.37135191937463
7900000000,15.15934397672058
8000000000,14.94014184120775
8100000000,14.71270858272728
8200000000,14.47592251341754
8300000000,14.22973711318418
8400000000,13.97232373075333
8500000000,13.70327672257876
8600000000,13.42216016370022
8700000000,13.12837722281238
8800000000,12.82167474561957
8900000000,12.50246086921389
9000000000,12.17052776139533
9100000000,11.82603815770257
9200000000,11.46984230411564
9300000000,11.10278277652192
9400000000,10.72554152501001
9500000000,10.33902544876529
9600000000,9.944208696985912
9700000000,9.542183576142662
9800000000,9.133741629107535
9900000000,8.72004722246337
10000000000,8.302331130386598
