pac_vo_diff_I_mixer_dB (fin1=7e+09) X,pac_vo_diff_I_mixer_dB (fin1=7e+09) Y
100000000,55.11225302560432
200000000,56.60588181853966
300000000,57.60418738755855
400000000,58.07702996643602
500000000,58.10516939688767
600000000,57.82621221952318
700000000,57.37309883192046
800000000,56.84940768161898
900000000,56.32912605013051
1000000000,55.85984473238828
1100000000,55.47521223737559
1200000000,55.19589256337256
1300000000,55.02911225241122
1400000000,54.97318268713046
1500000000,55.00245152182919
1600000000,55.06435587651703
1700000000,55.05815087498728
1800000000,54.83251484025551
1900000000,54.21583190776649
2000000000,53.09822064090771
2100000000,51.50449545373129
2200000000,49.56431538890228
2300000000,47.42047489808087
2400000000,45.18647015187319
2500000000,42.93710340587615
2600000000,40.71896883363954
2700000000,38.55848861220904
2800000000,36.45599690627441
2900000000,34.39913795114456
3000000000,32.34325994928633
3100000000,30.21687177420156
3200000000,27.93543232879715
3300000000,25.431743630946
3400000000,22.69315908483567
3500000000,19.77295243746017
3600000000,16.75464764963852
3700000000,13.72278094467391
3800000000,10.73799251219286
3900000000,7.837469907560992
4000000000,5.041357859774078
