pss_Vin (fin1=7e+09) X,pss_Vin (fin1=7e+09) Y
1e-05,8.576343648501446e-06
1.58489e-05,1.359258833324091e-05
2.51189e-05,2.154279940390889e-05
3.98107e-05,3.414303094093786e-05
6.30957e-05,5.411303667808926e-05
0.0001,8.576330118551785e-05
0.000158489,0.0001359253501073462
0.000251189,0.0002154260041381796
0.000398107,0.0003414236228722722
0.000630957,0.0005411090576100032
0.001,0.0008575665787879504
0.00158489,0.001359050584447306
0.00251189,0.002153689607104125
0.00398107,0.003412476321223481
0.00630957,0.005404799839959265
0.01,0.008540520487428835
