compressionCurves X,compressionCurves Y
-30,-17.32568213037691
-28,-15.32883909601554
-26,-13.33480408034891
-24,-11.34783439016883
-22,-9.383957714326874
-20,-7.488045448421826
-18,-5.702016988214293
-16,-4.031195368117539
-14,-2.473057371808822
-12,-1.051977766658902
-10,0.103531472602692
-8,0.8847914946955887
-6,1.39459321097891
-4,1.720899774710733
-2,1.922071484087897
0,2.043917156576993
2,2.117655104668906
4,2.160033523232661
6,2.179147372628672
8,2.18010554576056
10,2.169816719699701
