v (/Vop_I_test /Vom_I_test); ac dB20(V) X,v (/Vop_I_test /Vom_I_test); ac dB20(V) Y
10000000,13.73557525211546
11220184.54301963,13.73752199051685
12589254.11794167,13.73906778720075
14125375.44622754,13.74029457020436
15848931.92461113,13.74126742278469
17782794.10038922,13.74203799700313
19952623.14968878,13.74264723015186
22387211.38568338,13.74312750394764
25118864.31509578,13.74350435560534
28183829.31264452,13.74379782889817
31622776.60168377,13.74402353683006
35481338.92335751,13.74419348944192
39810717.05534968,13.74431673103787
44668359.21509626,13.74439982089314
50118723.36272717,13.74444718161103
56234132.51903483,13.74446133398386
63095734.44801924,13.74444303124059
70794578.43841368,13.74439129879702
79432823.47242802,13.74430338247156
89125093.8133744,13.74417460202265
99999999.99999982,13.74399810222886
112201845.4301961,13.74376448856889
125892541.1794165,13.74346132763961
141253754.4622751,13.7430724867404
158489319.246111,13.74257727743789
177827941.0038919,13.7419493577708
199526231.4968875,13.74115533591249
223872113.8568334,13.74015300186139
251188643.1509574,13.73888909602678
281838293.1264447,13.73729649802747
316227766.0168371,13.73529069321233
354813389.2335745,13.7327653346373
398107170.5534962,13.7295866818786
446683592.1509619,13.72558663710134
501187233.6272709,13.72055404580838
562341325.1903474,13.71422384907619
630957344.4801913,13.70626359514794
707945784.3841357,13.69625672153286
794328234.7242789,13.68368192275127
891250938.1337426,13.66788782178997
999999999.9999965,13.64806208726291
1122018454.30196,13.62319410897461
1258925411.794163,13.59203039309403
1412537544.622749,13.55302204329761
1584893192.461107,13.50426412021237
1778279410.038916,13.44342745070058
1995262314.968872,13.36768470644753
2238721138.56833,13.27363443145482
2511886431.50957,13.15722923352795
2818382931.264442,13.01371749447694
3162277660.168366,12.83761133921077
3548133892.335739,12.62269643035587
3981071705.534955,12.36210011453359
4466835921.509611,12.04843185669608
5011872336.2727,11.67400224729533
5623413251.903465,11.23111384791167
6309573444.801904,10.7124007196856
7079457843.841346,10.11117831731991
7943282347.242777,9.421757539677543
8912509381.337412,8.639680406428317
10000000000,7.761849402432586
