noise figure X,noise figure Y
10000000,13.59542746388193
12589254.11794167,11.90788091287601
15848931.92461114,10.343065567724
19952623.1496888,8.934316827229999
25118864.3150958,7.711358210142733
31622776.6016838,6.692739902455757
39810717.05534974,5.880086479387197
50118723.36272725,5.257555600954499
63095734.44801936,4.79685653065955
79432823.47242819,4.464780649528209
100000000.0000001,4.229613098942525
125892541.1794168,4.06470181141461
158489319.2461115,3.949450333606038
199526231.4968881,3.868795507399442
251188643.1509582,3.812108341420231
316227766.0168382,3.772061752465792
398107170.5534976,3.743690020144006
501187233.6272728,3.723689085738953
630957344.480194,3.709934583890444
794328234.7242825,3.701177131493942
1000000000.000001,3.696880886275166
1258925411.794169,3.697186730974414
1584893192.461116,3.703000187482005
1995262314.968883,3.716225581298467
2511886431.509584,3.740193152239185
3162277660.168385,3.780355396712483
3981071705.534979,3.845359557430107
5000000000,3.94729929542439
