ac_vout_diff_Q_lna_stg2_dB (fin1=7e+09) X,ac_vout_diff_Q_lna_stg2_dB (fin1=7e+09) Y
4000000000,-3.819017267740803
4200000000,-0.2438555909995904
4400000000,3.475040769676148
4600000000,7.351691566663307
4800000000,11.39947086677616
5000000000,15.62421995262153
5200000000,20.02346874646488
5400000000,24.58536182345549
5600000000,29.27901858301426
5800000000,34.01816121361855
6000000000,38.52555450915776
6200000000,42.09124976652602
6400000000,43.83597756673082
6600000000,43.93411643190612
6800000000,43.35351453146125
7000000000,42.7849133951848
7200000000,42.54658064330108
7400000000,42.73258592669491
7600000000,43.19225082992521
7800000000,43.26465486599162
8000000000,41.75187097955511
8200000000,38.33340215866117
8400000000,33.92527560263566
8600000000,29.25468027848739
8800000000,24.64103917898644
9000000000,20.21432861809611
9200000000,16.01345183702906
9400000000,12.03742478854865
9600000000,8.272572889083351
9800000000,4.699204109741873
10000000000,1.30069740700329
