leafValue( IT("/ISUP_IB/VSUP_BUFFER/MINUS") "fin1" 7e+09 )*leafValue( VT("/vdd_buffer") "fin1" 7e+09 ) X,leafValue( IT("/ISUP_IB/VSUP_BUFFER/MINUS") "fin1" 7e+09 )*leafValue( VT("/vdd_buffer") "fin1" 7e+09 ) Y
0,0.01388176510246495
5.000000000000001e-12,0.01388176493986351
1.333333333333333e-11,0.01388175868406641
2.166666666666667e-11,0.01388174298455369
3e-11,0.01388183971401291
3.833333333333333e-11,0.01388189934633955
4.666666666666666e-11,0.01388161157397311
5.499999999999999e-11,0.0138816931910961
6.333333333333332e-11,0.01388241949182382
7.166666666666665e-11,0.01388227796077179
7.999999999999998e-11,0.01388095147719149
8.833333333333331e-11,0.0138800243786706
9.666666666666664e-11,0.01388027552090129
1.05e-10,0.01388022582427956
1.133333333333333e-10,0.01387831120732388
1.216666666666666e-10,0.01387495140110001
1.3e-10,0.01387225741059769
1.383333333333333e-10,0.01387254479033913
1.466666666666666e-10,0.01387672808115846
1.55e-10,0.013883962477472
1.633333333333333e-10,0.01389227728821443
1.716666666666666e-10,0.01389956364143965
1.799999999999999e-10,0.01390423479515461
1.883333333333333e-10,0.01390567560743321
1.966666666666666e-10,0.0139041166601078
2.049999999999999e-10,0.0138999986618349
2.133333333333333e-10,0.01389359864402625
2.216666666666666e-10,0.01388503187457264
2.299999999999999e-10,0.01387461499234744
2.383333333333333e-10,0.01386277791170107
2.466666666666666e-10,0.01385006007597553
2.55e-10,0.0138371874964614
2.633333333333334e-10,0.01382508726240513
2.711491323901726e-10,0.01381468314852589
2.781611764175493e-10,0.01380692384532567
2.850522491900559e-10,0.01380006319525316
2.929573296419308e-10,0.01379157916353473
3.012906629752642e-10,0.01378297282764174
3.082817049827253e-10,0.01378206152756342
3.144059080029173e-10,0.01378342087470789
3.202871484493866e-10,0.0137864212468432
3.270685016721684e-10,0.01379045638313009
3.351876718675723e-10,0.01379630011812976
3.429294598123847e-10,0.01381781271068544
3.490878509570655e-10,0.01384099635832521
3.547869511144108e-10,0.01385449144647593
3.608214552219614e-10,0.01385526624699476
3.687699604119894e-10,0.01384453261183688
3.771032937453228e-10,0.01386006654052525
3.840335608449792e-10,0.01388626675562401
3.902884607080593e-10,0.01389972813687825
3.964263056446323e-10,0.01389744382555388
4.027267324088515e-10,0.01388726966149733
4.104217015104751e-10,0.01388432847475619
