pss_gain_I_pcb (fin1=7e+09) X,pss_gain_I_pcb (fin1=7e+09) Y
1e-05,57.22278043000325
1.58489e-05,57.222060614105
2.51189e-05,57.22027542599328
3.98107e-05,57.21577060790592
6.30957e-05,57.20441567770364
0.0001,57.17559595804784
0.000158489,57.10190004303941
0.000251189,56.91762425337986
0.000398107,56.51809810482054
0.000630957,55.81500951149491
0.001,54.6758382208024
0.00158489,52.32849518119856
0.00251189,48.79414103955511
0.00398107,45.02846600832959
0.00630957,41.01833104063004
0.01,36.96852567827025
