ac_vout_diff_I_lna_stg2_dB (fin1=7e+09) X,ac_vout_diff_I_lna_stg2_dB (fin1=7e+09) Y
4000000000,-3.830458720039142
4200000000,-0.2555164853330335
4400000000,3.463173364466855
4600000000,7.339607498194115
4800000000,11.38713772332894
5000000000,15.61163153372117
5200000000,20.01058632305218
5400000000,24.57217560013602
5600000000,29.26552032045802
5800000000,34.0043577688208
6000000000,38.51137706238425
6200000000,42.07674178508366
6400000000,43.8210847978023
6600000000,43.91883501328854
6800000000,43.33784090730143
7000000000,42.76885754976044
7200000000,42.53012245425737
7400000000,42.71571967363443
7600000000,43.17495277462699
7800000000,43.24693743377934
8000000000,41.73373233760317
8200000000,38.31486558268345
8400000000,33.9063437915564
8600000000,29.23536474849877
8800000000,24.62138595969902
9000000000,20.19436261587813
9200000000,15.99322310819807
9400000000,12.01698853684868
9600000000,8.251998124507733
9800000000,4.678589806906036
10000000000,1.280119801522714
