pac_vo_diff_Q_pcb_dB (fin1=7e+09) X,pac_vo_diff_Q_pcb_dB (fin1=7e+09) Y
100000000,55.23906505102632
200000000,56.73500955966765
300000000,57.73597699446429
400000000,58.21205638023967
500000000,58.24364711544963
600000000,57.96822861490449
700000000,57.51867482803551
800000000,56.99858175132141
900000000,56.48191113867212
1000000000,56.01624330909771
1100000000,55.63520723714792
1200000000,55.35944155711208
1300000000,55.19606179917395
1400000000,55.1434318227226
1500000000,55.1762629969764
1600000000,55.24205513920187
1700000000,55.23984175289356
1800000000,55.01829385092026
1900000000,54.40584322495635
2000000000,53.29265799317505
2100000000,51.70363609870375
2200000000,49.76837206326906
2300000000,47.62984173803089
2400000000,45.40175922082918
2500000000,43.1602800786732
2600000000,40.94913491816646
2700000000,38.79651062772712
2800000000,36.7034061035743
2900000000,34.65711985345239
3000000000,32.61273648649409
3100000000,30.49798439723926
3200000000,28.22660070651734
3300000000,25.72960101198943
3400000000,22.99344726599604
3500000000,20.07080031029207
3600000000,17.05102449528951
3700000000,14.01799744279736
3800000000,11.03314933541871
3900000000,8.133818233504311
4000000000,5.339415480889381
