pnoise_F (fin1=7e+09) X,pnoise_F (fin1=7e+09) Y
100000000,1.396658036633263
125892541.1794167,1.392293465572285
158489319.2461114,1.386247199230228
199526231.496888,1.378402966255698
251188643.1509581,1.36897810660361
316227766.016838,1.358750474403798
398107170.5534974,1.34892499765992
501187233.6272725,1.340874339087763
630957344.4801935,1.335970709360679
794328234.7242819,1.33559561851124
1000000000.000001,1.341358753687051
1258925411.794168,1.356176855082524
1584893192.461115,1.3886407499331
2000000000,1.474013603576512
