leafValue( IT("/ISUP_IB/VSUP_MIXER/MINUS") "fin1" 7e+09 )*leafValue( VT("/vdd_mixer") "fin1" 7e+09 ) X,leafValue( IT("/ISUP_IB/VSUP_MIXER/MINUS") "fin1" 7e+09 )*leafValue( VT("/vdd_mixer") "fin1" 7e+09 ) Y
0,0.01787838845288594
5.000000000000001e-12,0.01787838789958325
1.333333333333333e-11,0.01787836193039587
2.166666666666667e-11,0.01787828140414549
3e-11,0.01787842699466447
3.833333333333333e-11,0.0178787325654805
4.666666666666666e-11,0.01787842941612645
5.499999999999999e-11,0.01787845666853282
6.333333333333332e-11,0.01788025103472593
7.166666666666665e-11,0.01788217301251527
7.999999999999998e-11,0.01788238880552899
8.833333333333331e-11,0.01788158514112846
9.666666666666664e-11,0.01788128692143229
1.05e-10,0.01788079545466007
1.133333333333333e-10,0.01787723532659085
1.216666666666666e-10,0.01786736713588481
1.3e-10,0.01784952060436746
1.383333333333333e-10,0.01782552862385379
1.466666666666666e-10,0.01780083667245996
1.55e-10,0.01778279962115709
1.633333333333333e-10,0.01777761407869659
1.716666666666666e-10,0.01778731473531219
1.799999999999999e-10,0.01780843090820429
1.883333333333333e-10,0.01783362261089696
1.966666666666666e-10,0.01785539904443349
2.049999999999999e-10,0.01786953583470327
2.133333333333333e-10,0.01787645116990352
2.216666666666666e-10,0.01787999511616247
2.299999999999999e-10,0.0178849637937533
2.383333333333333e-10,0.01789446804961318
2.466666666666666e-10,0.01790848086365037
2.55e-10,0.01792343511042705
2.633333333333334e-10,0.01793317454723637
2.711491323901726e-10,0.01792965935245389
2.781611764175493e-10,0.0179146944012667
2.850522491900559e-10,0.01789370432368127
2.929573296419308e-10,0.01786893289632
3.012906629752642e-10,0.01784143841382191
3.082817049827253e-10,0.01781853807260334
3.144059080029173e-10,0.01780085043625142
3.202871484493866e-10,0.01778920278541212
3.270685016721684e-10,0.01778169743497497
3.351876718675723e-10,0.01777410316052849
3.429294598123847e-10,0.01778495387060365
3.490878509570655e-10,0.01781048787563962
3.547869511144108e-10,0.01783453025248117
3.608214552219614e-10,0.01784655808628248
3.687699604119894e-10,0.01783343561604465
3.771032937453228e-10,0.01783103851737782
3.840335608449792e-10,0.01784775628590069
3.902884607080593e-10,0.01786407331886644
3.964263056446323e-10,0.01786969572777477
4.027267324088515e-10,0.0178669661956459
4.104217015104751e-10,0.0178703030782377
4.187550348438084e-10,0.01788531342503615
4.257076353729579e-10,0.01787953467821938
4.31961952856368e-10,0.01785636408919698
4.375339461210434e-10,0.0178323549031343
4.429575009739622e-10,0.01781269416169032
4.499625065614238e-10,0.01779896909412903
4.580287896592767e-10,0.01778317334638443
4.645271421473562e-10,0.01775745082015938
4.701044964159141e-10,0.017731376136953
4.750507217693737e-10,0.01771308160134854
4.801123876399838e-10,0.01770460666173034
4.859115539344675e-10,0.01770152376508051
4.925401227490506e-10,0.01770049116327233
4.993789923941769e-10,0.01769931490321844
5.053565721852073e-10,0.01770306758687566
5.106782000132837e-10,0.01771359269402521
5.157161744701438e-10,0.01772702693067611
5.212899244447621e-10,0.01773119462994894
5.274782378015698e-10,0.01773101117514777
5.345113518116184e-10,0.01773163727491838
5.41905497310064e-10,0.01773911090506946
5.482444492754204e-10,0.01774872678933077
5.54195628118364e-10,0.01775748753873254
5.600345072598246e-10,0.01776325332341522
5.659339357818584e-10,0.0177655937626592
5.712447833601256e-10,0.01776597467171579
5.758302048023618e-10,0.01776310525400917
5.797400518484238e-10,0.01776046354402213
5.832981786305623e-10,0.01775766865984922
5.875532362216639e-10,0.01775585819800478
5.929828241872456e-10,0.01775564419265882
5.978655469975823e-10,0.01774462644679066
6.036081819219565e-10,0.01772644852567112
6.103466387189242e-10,0.01769589004827568
6.174493366196511e-10,0.01766072375979781
6.245238825550821e-10,0.01762331356513316
6.304566226301085e-10,0.0175934997995374
6.356810459492434e-10,0.01757168743986611
6.405657742780058e-10,0.0175581650308728
6.461953609328096e-10,0.01755013543752748
6.517055191626044e-10,0.01754745405919554
6.570503266601321e-10,0.01755018017866048
6.620753926710009e-10,0.01755650713906371
6.665229390300366e-10,0.01756459566451411
6.705333812452349e-10,0.01757141142775695
6.745629998584548e-10,0.01757639719968412
6.79580134244276e-10,0.01757561028107621
6.857146941407391e-10,0.01756609171184445
