ipnCurves (trace=3rd Order) X,ipnCurves (trace=3rd Order) Y
-90,-49.53695246851038
-78,-25.50543212027603
-66,-1.438671519460108
-54,12.40873893067591
-42,14.50301404432323
-30,5.991684182906326
