"Zin_Im (L=4e-08,M=10) X","Zin_Im (L=4e-08,M=10) Y","Zin_Im (L=4e-08,M=20) X","Zin_Im (L=4e-08,M=20) Y","Zin_Im (L=8e-08,M=10) X","Zin_Im (L=8e-08,M=10) Y","Zin_Im (L=8e-08,M=20) X","Zin_Im (L=8e-08,M=20) Y"
0.7400000000000004,-1217.618909356214,0.7400000000000004,-536.4867817460669,0.7400000000000004,-912.5434251761109,0.7400000000000004,-412.906862725671
0.7500000000000004,-1215.613576343667,0.7500000000000004,-535.5145380739892,0.7500000000000004,-909.5341351479231,0.7500000000000004,-411.1321859687415
0.7600000000000005,-1213.771511652306,0.7600000000000005,-534.6378198624083,0.7600000000000005,-906.7229332492514,0.7600000000000005,-409.4857634218032
0.7700000000000005,-1212.078769604383,0.7700000000000005,-533.8481100241784,0.7700000000000005,-904.0951218338787,0.7700000000000005,-407.9578624919509
0.7800000000000005,-1210.522524831698,0.7800000000000005,-533.1376257104257,0.7800000000000005,-901.6371566709774,0.7800000000000005,-406.5395463555461
0.7900000000000005,-1209.09099452674,0.7900000000000005,-532.4992604905461,0.7900000000000005,-899.3365714870973,0.7900000000000005,-405.2226183168875
0.8000000000000005,-1207.773362691437,0.8000000000000005,-531.9265294992416,0.8000000000000005,-897.1819026444147,0.8000000000000005,-403.999566692826
0.8100000000000005,-1206.559707240574,0.8100000000000005,-531.4135178215497,0.8100000000000005,-895.1626154258613,0.8100000000000005,-402.8635112904735
0.8200000000000005,-1205.440930548549,0.8200000000000005,-530.9548322480825,0.8200000000000005,-893.2690329943216,0.8200000000000005,-401.80815222081
0.8300000000000005,-1204.408693808961,0.8300000000000005,-530.5455564371526,0.8300000000000005,-891.4922687626986,0.8300000000000005,-400.8277215345334
0.8400000000000005,-1203.455355405585,0.8400000000000005,-530.1812094322291,0.8400000000000005,-889.8241626448473,0.8400000000000005,-399.9169379608573
0.8500000000000005,-1202.573913353197,0.8500000000000005,-529.8577074282683,0.8500000000000005,-888.2572214477202,0.8500000000000005,-399.0709648802757
0.8600000000000005,-1201.757951761588,0.8600000000000005,-529.5713286377043,0.8600000000000005,-886.7845635015329,0.8600000000000005,-398.2853715455075
0.8700000000000006,-1201.001591188508,0.8700000000000006,-529.3186810724515,0.8700000000000006,-885.3998675012064,0.8700000000000006,-397.5560974807034
0.8800000000000006,-1200.299442681736,0.8800000000000006,-529.09667303611,0.8800000000000006,-884.0973254387748,0.8800000000000006,-396.8794199285844
0.8900000000000006,-1199.646565258022,0.8900000000000006,-528.9024861058725,0.8900000000000006,-882.8715994396919,0.8900000000000006,-396.2519241763896
0.9000000000000006,-1199.038426523957,0.9000000000000006,-528.7335503698586,0.9000000000000006,-881.7177822674234,0.9000000000000006,-395.6704765609696
