"Zopt_Re (L=4e-08,M=10) X","Zopt_Re (L=4e-08,M=10) Y","Zopt_Re (L=4e-08,M=20) X","Zopt_Re (L=4e-08,M=20) Y","Zopt_Re (L=8e-08,M=10) X","Zopt_Re (L=8e-08,M=10) Y","Zopt_Re (L=8e-08,M=20) X","Zopt_Re (L=8e-08,M=20) Y"
0,341.877590399561,0,164.6908187067615,0,332.8393213314902,0,154.9753276057966
0.01,331.0089937300215,0.01,161.4746958787696,0.01,333.5030142504457,0.01,155.26419959896
0.02,318.4908467658473,0.02,157.5662794890021,0.02,334.1555121300606,0.02,155.5544584702669
0.03,304.4219515318997,0.03,152.9180839912749,0.03,334.7929284908964,0.03,155.846214308417
0.04,289.0128985760305,0.04,147.5192987516945,0.04,335.4094828755973,0.04,156.1393294542109
0.05,272.5796592244029,0.05,141.4074775279196,0.05,335.996747787465,0.05,156.4332676415108
0.06,255.5299123983885,0.06,134.6780213156613,0.06,336.544694640191,0.06,156.7278715208649
0.07000000000000001,238.3209097780672,0.07000000000000001,127.4831161316992,0.07000000000000001,337.0396768301207,0.07000000000000001,157.0225575762011
0.08,221.4057347456505,0.08,120.0099901353849,0.08,337.4513914820528,0.08,157.3109147221197
0.09,205.2381552331318,0.09,112.4839752087257,0.09,337.7452072768845,0.09,157.5867398334793
0.09999999999999999,190.2427970604893,0.09999999999999999,105.1473090536443,0.09999999999999999,337.872396583428,0.09999999999999999,157.8400221145403
0.11,176.8087966658562,0.11,98.24563202445924,0.11,337.764876132632,0.11,158.0549528835528
0.12,165.2899455216376,0.12,92.01812169790963,0.12,337.328561920162,0.12,158.2070840131369
0.13,156.0039784912511,0.13,86.69043927693563,0.13,336.4356918907203,0.13,158.2594951078492
0.14,149.2234565612328,0.14,82.46749788835901,0.14,334.9173291055218,0.14,158.1580480886691
0.15,145.1547074389863,0.15,79.52266458538701,0.15,332.558659148714,0.15,157.8262989766911
0.16,143.9097322930917,0.16,77.98245325858429,0.16,329.1014411462877,0.16,157.1614743553539
0.17,145.4846733528197,0.17,77.91062953520789,0.17,324.2592624063072,0.17,156.0340094984357
0.18,149.7592043631033,0.18,79.29957367199785,0.18,317.7505655557719,0.18,154.2940341507654
0.19,156.5205221676444,0.19,82.07520972943132,0.19,309.3501513920171,0.19,151.7879987212418
0.2,165.5017051748401,0.2,86.1146894421573,0.2,298.9519222817126,0.2,148.3863920482965
0.21,176.418877384041,0.21,91.26933758360033,0.21,286.6270903026494,0.21,144.0190621986823
0.2200000000000001,188.9968183124014,0.2200000000000001,97.38453003652815,0.2200000000000001,272.6585220747622,0.2200000000000001,138.7095986369098
0.2300000000000001,202.9811358485745,0.2300000000000001,104.3122098783928,0.2300000000000001,257.537410461424,0.2300000000000001,132.5976099712548
0.2400000000000001,218.1405250258568,0.2400000000000001,111.9162104512186,0.2400000000000001,241.9212228869312,0.2400000000000001,125.9399705419268
0.2500000000000001,234.2639185827867,0.2500000000000001,120.0728094265308,0.2500000000000001,226.5645273760545,0.2500000000000001,119.088679792618
0.2600000000000001,251.1562926872026,0.2600000000000001,128.6691113842565,0.2600000000000001,212.2397780415235,0.2600000000000001,112.4503329138522
0.2700000000000001,268.6352815788738,0.2700000000000001,137.6010760310025,0.2700000000000001,199.6621567133542,0.2700000000000001,106.436517470861
0.2800000000000001,286.5294314201582,0.2800000000000001,146.7721199089041,0.2800000000000001,189.4256784455479,0.2800000000000001,101.4145774933037
0.2900000000000001,304.6780853187987,0.2900000000000001,156.0925639214836,0.2900000000000001,181.9532481219954,0.2900000000000001,97.66609994988791
0.3000000000000001,322.9324635649616,0.3000000000000001,165.4798190159168,0.3000000000000001,177.464436569819,0.3000000000000001,95.3589324115846
0.3100000000000001,341.1573543684958,0.3100000000000001,174.8590328153708,0.3100000000000001,175.9683977939989,0.3100000000000001,94.5378171350813
0.3200000000000001,359.2328515933637,0.3200000000000001,184.1638849906893,0.3200000000000001,177.2879099002001,0.3200000000000001,95.13606652126622
0.3300000000000001,377.0556913222976,0.3300000000000001,193.3372609722794,0.3300000000000001,181.110458813878,0.3300000000000001,97.00453416703886
