"Zopt_Im (L=4e-08,M=10) X","Zopt_Im (L=4e-08,M=10) Y","Zopt_Im (L=4e-08,M=20) X","Zopt_Im (L=4e-08,M=20) Y","Zopt_Im (L=8e-08,M=10) X","Zopt_Im (L=8e-08,M=10) Y","Zopt_Im (L=8e-08,M=20) X","Zopt_Im (L=8e-08,M=20) Y"
0.4800000000000003,1576.469745410098,0.4800000000000003,801.8951505571937,0.4800000000000003,1165.502973876859,0.4800000000000003,589.7138762590184
0.4900000000000003,1568.466189027795,0.4900000000000003,797.3996330255811,0.4900000000000003,1152.750415413832,0.4900000000000003,583.0480989014267
0.5000000000000002,1560.927433830997,0.5000000000000002,793.1680874101505,0.5000000000000002,1140.951987912184,0.5000000000000002,576.8922544111617
0.5100000000000002,1553.8370949339,0.5100000000000002,789.1914099846249,0.5100000000000002,1130.054868923371,0.5100000000000002,571.217363237725
0.5200000000000002,1547.178163151267,0.5200000000000002,785.4601654868052,0.5200000000000002,1120.004917274549,0.5200000000000002,565.993867690231
0.5300000000000002,1540.933248566357,0.5300000000000002,781.9647185848034,0.5300000000000002,1110.749053542391,0.5300000000000002,561.1929133868165
0.5400000000000003,1535.084777807987,0.5400000000000003,778.6953382809882,0.5400000000000003,1102.234717823575,0.5400000000000003,556.7860219956151
0.5500000000000003,1529.614882098141,0.5500000000000003,775.642105059541,0.5500000000000003,1094.410799360454,0.5500000000000003,552.7456062269491
0.5600000000000003,1524.504984721123,0.5600000000000003,772.7948461390439,0.5600000000000003,1087.228062237866,0.5600000000000003,549.0451718605477
0.5700000000000003,1519.739056705622,0.5700000000000003,770.1445805992093,0.5700000000000003,1080.639423085754,0.5700000000000003,545.6594503423869
0.5800000000000003,1515.298178196063,0.5800000000000003,767.6806587431332,0.5800000000000003,1074.600129087197,0.5800000000000003,542.5644788354228
0.5900000000000003,1511.16966091429,0.5900000000000003,765.396308679464,0.5900000000000003,1069.067857954463,0.5900000000000003,539.7376399933202
0.6000000000000003,1507.335056547229,0.6000000000000003,763.2810868791288,0.6000000000000003,1064.002757531137,0.6000000000000003,537.157671207893
0.6100000000000003,1503.77846145683,0.6100000000000003,761.3260963185329,0.6100000000000003,1059.367439273373,0.6100000000000003,534.804651016399
0.6200000000000003,1500.484409572827,0.6200000000000003,759.5226591114896,0.6200000000000003,1055.126937041744,0.6200000000000003,532.6599687008963
0.6300000000000003,1497.437894905121,0.6300000000000003,757.862329268857,0.6300000000000003,1051.248640327212,0.6300000000000003,530.7062818021587
0.6400000000000003,1494.624387470483,0.6400000000000003,756.3369022199685,0.6400000000000003,1047.702209166491,0.6400000000000003,528.9274652412756
0.6500000000000004,1492.029845392394,0.6500000000000004,754.9384227464618,0.6500000000000004,1044.459476491149,0.6500000000000004,527.3085549304295
0.6600000000000004,1489.640723865909,0.6600000000000004,753.6591915888605,0.6600000000000004,1041.494342438141,0.6600000000000004,525.8356881148156
0.6700000000000004,1487.443981471072,0.6700000000000004,752.4917708820831,0.6700000000000004,1038.781829146472,0.6700000000000004,524.4955847233261
0.6800000000000004,1485.427084157459,0.6800000000000004,751.42898850327,0.6800000000000004,1036.30141088947,0.6800000000000004,523.2773731497482
0.6900000000000004,1483.5780071296,0.6900000000000004,750.4639413730256,0.6900000000000004,1034.031574114822,0.6900000000000004,522.1696057619604
0.7000000000000004,1481.885234785496,0.7000000000000004,749.5899977283821,0.7000000000000004,1031.953379979565,0.7000000000000004,521.1622167544152
0.7100000000000004,1480.337758828068,0.7100000000000004,748.8007983788527,0.7100000000000004,1030.0494063549,0.7100000000000004,520.2459419817205
0.7200000000000004,1478.925074651662,0.7200000000000004,748.0902569567143,0.7200000000000004,1028.303645661256,0.7200000000000004,519.4122646290261
0.7300000000000004,1477.637176087902,0.7300000000000004,747.4525591805109,0.7300000000000004,1026.701406650601,0.7300000000000004,518.6533632122103
0.7400000000000004,1476.464548616305,0.7400000000000004,746.882161159699,0.7400000000000004,1025.229221001144,0.7400000000000004,517.9620623414137
0.7500000000000004,1475.398161129242,0.7500000000000004,746.3737867796358,0.7500000000000004,1023.874754902237,0.7500000000000004,517.3317862874206
