"Zin_Re (L=4e-08,M=10) X","Zin_Re (L=4e-08,M=10) Y","Zin_Re (L=4e-08,M=20) X","Zin_Re (L=4e-08,M=20) Y","Zin_Re (L=8e-08,M=10) X","Zin_Re (L=8e-08,M=10) Y","Zin_Re (L=8e-08,M=20) X","Zin_Re (L=8e-08,M=20) Y"
0,30.00385745521065,0,20.85725819438049,0,38.06295047431603,0,26.0896569943528
0.01,29.93683777243404,0.01,20.81286604211552,0.01,37.87581191227811,0.01,25.96592508807072
0.02,29.86970179138758,0.02,20.76846703644487,0.02,37.69053593247429,0.02,25.84347552304151
0.03,29.80213443664885,0.03,20.72383537914474,0.03,37.50663353014999,0.03,25.72196516498566
0.04,29.73377588185768,0.04,20.67871135487061,0.04,37.32356212451997,0.04,25.60100842331672
0.05,29.66421250820074,0.05,20.63279437978225,0.05,37.14071571393013,0.05,25.48016908386829
0.06,29.59286476521331,0.06,20.58569937331733,0.06,36.95715687899079,0.06,25.35880256178083
0.07000000000000001,29.51913522843772,0.07000000000000001,20.53698116443724,0.07000000000000001,36.77170001265208,0.07000000000000001,25.23612322894559
0.08,29.44256217017049,0.08,20.48625861912462,0.08,36.58419391247374,0.08,25.11187417570198
0.09,29.36240640972482,0.09,20.43297983299411,0.09,36.39363214758444,0.09,24.98529347963739
0.09999999999999999,29.27783023659781,0.09999999999999999,20.37651234964417,0.09999999999999999,36.19885979588837,0.09999999999999999,24.85549454433187
0.11,29.18789337700013,0.11,20.31613841321001,0.11,35.99853940396871,0.11,24.72143751319598
0.12,29.09156412643675,0.12,20.25106052630035,0.12,35.7911132257646,0.12,24.58189647044581
0.13,28.98775207433309,0.13,20.18042282035045,0.13,35.57476144286075,0.13,24.43542213298401
0.14,28.87536710895363,0.14,20.10335364483874,0.14,35.34735549921415,0.14,24.28029975416981
0.15,28.75341021593807,0.15,20.01903573289538,0.15,35.10641023436384,0.15,24.11450502504262
0.16,28.62109478914775,0.16,19.92680607435339,0.16,34.84904201547548,0.16,23.93566377665826
0.17,28.47798569811916,0.17,19.82627877481071,0.17,34.57194601267791,0.17,23.74102633891714
0.18,28.32412957469646,0.18,19.71747135405065,0.18,34.27141441790213,0.18,23.52747483174067
0.19,28.16014041530862,0.19,19.60090273726366,0.19,33.94342818755141,0.19,23.2915910433579
0.2,27.98720823707917,0.2,19.47762783829354,0.2,33.58386475625592,0.2,23.02982140445417
0.21,27.80701874590924,0.21,19.34918602787494,0.21,33.18886559129478,0.21,22.73877757457582
0.2200000000000001,27.62160144896628,0.2200000000000001,19.21746726150289,0.2200000000000001,32.75538743357741,0.2200000000000001,22.41569522640578
0.2300000000000001,27.43314656554136,0.2300000000000001,19.08452763482954,0.2300000000000001,32.28190522636189,0.2300000000000001,22.05902724520832
0.2400000000000001,27.24383504941889,0.2400000000000001,18.95240017656494,0.2400000000000001,31.76914157085598,0.2400000000000001,21.66906883290031
0.2500000000000001,27.05571159163798,0.2500000000000001,18.82294050887632,0.2500000000000001,31.22059975379563,0.2500000000000001,21.24842802696951
0.2600000000000001,26.87060910233271,0.2600000000000001,18.69772756602573,0.2600000000000001,30.64264823403723,0.2600000000000001,20.80212769739638
0.2700000000000001,26.69011675808494,0.2700000000000001,18.57801946997106,0.2700000000000001,30.04401374415417,0.2700000000000001,20.33721410779252
