"Gmin  (L=4e-08,M=10) X","Gmin  (L=4e-08,M=10) YRe","Gmin  (L=4e-08,M=10) YReImag","Gmin  (L=4e-08,M=20) X","Gmin  (L=4e-08,M=20) YRe","Gmin  (L=4e-08,M=20) YReImag","Gmin  (L=8e-08,M=10) X","Gmin  (L=8e-08,M=10) YRe","Gmin  (L=8e-08,M=10) YReImag","Gmin  (L=8e-08,M=20) X","Gmin  (L=8e-08,M=20) YRe","Gmin  (L=8e-08,M=20) YReImag"
0,0.9889789506922786,0.05187395164893521,0,0.9770121399018892,0.1008909514348825,0,0.9828393556730478,0.06471459484643145,0,0.9652848758088238,0.1254237035223157
0.01,0.9893975317974542,0.05167515876209237,0.01,0.977583611092136,0.1004865122815955,0.01,0.9828962851570017,0.06455484066011974,0.01,0.9654107525236184,0.1251186248635267
0.02,0.9898567399853211,0.05147585245993922,0.02,0.9782331354878423,0.1000645248854317,0.02,0.9829542575251017,0.06439441843213307,0.02,0.9655366261617357,0.1248131843918986
0.03,0.9903496785177065,0.0512806524780175,0.03,0.9789586418196546,0.09963255817446263,0.03,0.9830139771268048,0.06423241594345545,0.03,0.9656633485012851,0.1245059215351145
0.04,0.9908668480499913,0.05109430641573743,0.04,0.9797529756261021,0.09920037434367812,0.04,0.9830763612906065,0.06406770208078544,0.04,0.9657920210853624,0.1241950293887374
0.05,0.9913968615916123,0.05092118485953377,0.05,0.9806036765872985,0.09877908191757293,0.05,0.9831426054708355,0.06389887088772782,0.05,0.9659240779551944,0.1238782591346471
0.06,0.9919272286993541,0.05076465292794145,0.06,0.9814933133048782,0.09837966190121841,0.06,0.9832143747073002,0.0637237992128087,0.06,0.9660616610094722,0.1235520302006631
0.07000000000000001,0.9924454710610187,0.05062716493732393,0.07000000000000001,0.9824006180729414,0.09801198766236444,0.07000000000000001,0.9832938494227269,0.06353972594456811,0.07000000000000001,0.9662076070848263,0.1232116994919938
0.08,0.9929402761503896,0.05051069234260339,0.08,0.983302997187457,0.09768520517601643,0.08,0.9833832859832652,0.06334514236088006,0.08,0.9663643576657236,0.1228551038263477
0.09,0.9934012747726683,0.05041604574624982,0.09,0.9841770475993279,0.09740531800022785,0.09,0.9834859495695469,0.0631370058658504,0.09,0.9665360017132429,0.122477141412634
0.09999999999999999,0.9938193423222699,0.05034352836950166,0.09999999999999999,0.985000083574712,0.097176023232474,0.09999999999999999,0.9836059241656391,0.06291185578840293,0.09999999999999999,0.9667277729612016,0.1220718415285985
0.11,0.9941864194884006,0.05029323979353157,0.11,0.9857508149018742,0.09699915409958047,0.11,0.9837482140041599,0.06266597066136399,0.11,0.9669462794493847,0.1216325041525957
0.12,0.994495237998456,0.05026533410086612,0.12,0.9864095347849954,0.09687532279391713,0.12,0.983918781363061,0.06239569832186087,0.12,0.967199706934232,0.1211520867731966
0.13,0.9947391453419261,0.05026019327537587,0.13,0.9869580681209853,0.09680457293742864,0.13,0.9841244586073672,0.06209802472664508,0.13,0.9674979284402878,0.1206239653309547
0.14,0.9949122058466211,0.05027849600224679,0.14,0.987379858800624,0.09678689921575924,0.14,0.9843726514021957,0.06177142822821174,0.14,0.9678524095768122,0.1200431997316468
0.15,0.9950096521354368,0.05032117278034949,0.15,0.98766054647901,0.09682254938236615,0.15,0.9846707416706846,0.06141700552503879,0.15,0.9682757514276269,0.1194083844547594
0.16,0.9950285593503396,0.05038924465018291,0.16,0.9877891252931348,0.09691206492826607,0.16,0.985025124661387,0.06103974352228821,0.16,0.9687806826334375,0.1187240261109923
0.17,0.9949684077041252,0.05048355539293296,0.17,0.9877593243575163,0.09705604227105395,0.17,0.9854398983217242,0.06064966517227425,0.17,0.9693783429045172,0.1180031461210364
0.18,0.994831179362172,0.05060443593751762,0.18,0.9875704874761519,0.0972546363937032,0.18,0.9859153712925663,0.06026245902340616,0.18,0.9700758454668135,0.1172695014163732
0.19,0.994620889382428,0.05075137929609964,0.19,0.987227351947714,0.09750691197555779,0.19,0.9864467275909833,0.05989920664542454,0.19,0.970873389914538,0.1165585835976544
0.2,0.994342782068293,0.05092282638002205,0.2,0.9867387475431543,0.09781024505858354,0.2,0.9870232834519125,0.0595850149809797,0.2,0.9717615498029286,0.1159165908759515
0.21,0.9940025509806425,0.05111613898100412,0.21,0.9861158279986795,0.09816000490567922,0.21,0.9876286859599536,0.05934669613622303,0.21,0.9727195878752418,0.1153969914438046
0.2200000000000001,0.9936058181152856,0.05132776991601099,0.2200000000000001,0.9853705313817734,0.09854964759400768,0.2200000000000001,0.9882421113322691,0.0592099467694158,0.2200000000000001,0.9737155278583008,0.1150550130943001
0.2300000000000001,0.9931579107941845,0.05155356980346109,0.2300000000000001,0.9845146284008582,0.09897118196005261,0.2300000000000001,0.9888401482729663,0.05919659032346255,0.2300000000000001,0.9747081715123441,0.1149410775366472
0.2400000000000001,0.9926638534095552,0.05178913501026586,0.2400000000000001,0.9835593464247199,0.09941583497682759,0.2400000000000001,0.98939880822976,0.0593223363451628,0.2400000000000001,0.9756505303125462,0.1150945249018734
0.2500000000000001,0.9921284656279851,0.05203011325892683,0.2500000000000001,0.9825153740588958,0.09987471563154458,0.2500000000000001,0.9898951311330784,0.05959532478793422,0.2500000000000001,0.9764936660487821,0.1155388717835936
0.2600000000000001,0.9915564834158097,0.05227242325352835,0.2600000000000001,0.981393037825196,0.1003393390483717,0.2600000000000001,0.990308130101486,0.06001560049775243,0.2600000000000001,0.9771900046767205,0.1162794733343638
0.2700000000000001,0.9909526538815446,0.05251238452685628,0.2700000000000001,0.9802025017309065,0.1008019642153796,0.2700000000000001,0.9906191902654411,0.06057558876393124,0.2700000000000001,0.9776957538688379,0.1173039579298076
0.2800000000000001,0.9903217825375652,0.05274677679715205,0.2800000000000001,0.9789539066554116,0.1012557667583157,0.2800000000000001,0.9908123152247003,0.06126149953308264,0.2800000000000001,0.9779727389638119,0.1185851956096422
0.2900000000000001,0.9896687297908212,0.05297285344149812,0.2900000000000001,0.9776574168088438,0.1016948958347847,0.2900000000000001,0.9908746369880386,0.06205535166687168,0.2900000000000001,0.9779902798384783,0.1200859350129489
0.3000000000000001,0.9889983644128379,0.05318832873270032,0.3000000000000001,0.9763231735617549,0.1021144617728916,0.3000000000000001,0.9907973103578274,0.06293712142839185,0.3000000000000001,0.9777273670691182,0.1217638577499917
0.3100000000000001,0.988315487573536,0.05339135100339532,0.3100000000000001,0.9749611765181692,0.1025104864611467,0.3100000000000001,0.9905764568784929,0.06388653476583957,0.3100000000000001,0.9771745920004257,0.1235758792208392
0.3200000000000001,0.9876247430960492,0.05358046819152849,0.3200000000000001,0.9735811212214183,0.102879834419559,0.3200000000000001,0.9902135775204299,0.06488423681769492,0.3200000000000001,0.9763347981504018,0.1254810190510713
0.3300000000000001,0.9869305287788096,0.05375458928026044,0.3300000000000001,0.9721922247431646,0.1032201338245146,0.3300000000000001,0.9897150846925079,0.06591234191260907,0.3300000000000001,0.9752218474032799,0.1274417881851932
0.3400000000000001,0.9862369207413351,0.05391294421923559,0.3400000000000001,0.9708030666137081,0.1035296931916073,0.3400000000000001,0.9890911220010715,0.0669545508441876,0.3400000000000001,0.9738579036121473,0.1294244966919885
0.3500000000000001,0.9855476186626684,0.05405504484622972,0.3500000000000001,0.9694214651387845,0.1038074186755023,0.3500000000000001,0.9883541730404817,0.06799606788410378,0.3500000000000001,0.9722702933504905,0.1313990331132014
0.3600000000000002,0.9848659153941255,0.05418064925677783,0.3600000000000002,0.9680544001825747,0.1040527368887877,0.3600000000000002,0.9875178960440475,0.06902349359705078,0.3600000000000002,0.9704888636769045,0.1333385522783594
0.3700000000000002,0.9841946905090142,0.05428973160894906,0.3700000000000002,0.9667079848369309,0.1042655275533428,0.3700000000000002,0.9865963467727003,0.07002477926239924,0.3700000000000002,0.9685441859885082,0.1352192921109173
0.3800000000000002,0.9835364244148319,0.05438245849964455,0.3800000000000002,0.9653874814070896,0.1044460688727573,0.3800000000000002,0.9856035297053105,0.07098925495143243,0.3800000000000002,0.9664664881779668,0.1370205568109299
0.3900000000000002,0.9828932279076134,0.05445917201087511,0.3900000000000002,0.9640973525392567,0.1045949965314429,0.3900000000000002,0.9845531407325452,0.07190770311227111,0.3900000000000002,0.9642850312298704,0.1387248048344482
0.4000000000000002,0.9822668814383476,0.05452037854595815,0.4000000000000002,0.9628413361842216,0.1047132751811959,0.4000000000000002,0.9834583887398877,0.07277243825080261,0.4000000000000002,0.9620276921139089,0.140317754006261
0.4100000000000002,0.9816588786544794,0.05456674184504028,0.4100000000000002,0.961622533057945,0.1048021796149891,0.4100000000000002,0.9823318388382366,0.07357735974944896,0.4100000000000002,0.9597206273576402,0.1417884324453198
