"Gmin im (L=4e-08,M=10) X","Gmin im (L=4e-08,M=10) Y","Gmin im (L=4e-08,M=20) X","Gmin im (L=4e-08,M=20) Y","Gmin im (L=8e-08,M=10) X","Gmin im (L=8e-08,M=10) Y","Gmin im (L=8e-08,M=20) X","Gmin im (L=8e-08,M=20) Y"
0.3500000000000001,0.05405442889230605,0.3500000000000001,0.1038051821237585,0.3500000000000001,0.06799504842346187,0.3500000000000001,0.1313952833240379
0.3600000000000002,0.05418003479688029,0.3600000000000002,0.1040505081749213,0.3600000000000002,0.0690224467160838,0.3600000000000002,0.1333347089317084
0.3700000000000002,0.05428911917983122,0.3700000000000002,0.104263308729488,0.3700000000000002,0.0700237061495885,0.3700000000000002,0.1352153608827566
0.3800000000000002,0.05438184860823623,0.3800000000000002,0.1044438618665293,0.3800000000000002,0.0709881571909034,0.3800000000000002,0.1370165447895282
0.3900000000000002,0.05445856512964874,0.3900000000000002,0.1045928031286421,0.3900000000000002,0.0719065826382822,0.3900000000000002,0.1387207203115717
0.4000000000000002,0.05451977510893081,0.4000000000000002,0.1047110970115013,0.4000000000000002,0.07277129729272377,0.4000000000000002,0.1403136062377964
0.4100000000000002,0.05456614224420093,0.4100000000000002,0.1048000181397258,0.4100000000000002,0.07357620076940687,0.4100000000000002,0.1417842313908796
0.4200000000000002,0.05459848276127605,0.4200000000000002,0.104861138317912,0.4200000000000002,0.07431678452065377,0.4200000000000002,0.143124892558023
0.4300000000000002,0.05461776073921117,0.4300000000000002,0.1048963153507258,0.4300000000000002,0.07499008859683326,0.4300000000000002,0.1443310124715075
0.4400000000000002,0.05462508175745706,0.4400000000000002,0.1049076798603163,0.4400000000000002,0.07559461439638288,0.4400000000000002,0.1454009132859855
0.4500000000000002,0.05462168348976917,0.4500000000000002,0.1048976171210025,0.4500000000000002,0.07613020513470764,0.4500000000000002,0.146335531570432
0.4600000000000002,0.05460892240864938,0.4600000000000002,0.10486874198273,0.4600000000000002,0.07659790652221662,0.4600000000000002,0.1471381013797302
0.4700000000000003,0.05458825632485147,0.4700000000000003,0.1048238660844168,0.4700000000000003,0.0769998178753928,0.4700000000000003,0.1478138264704049
0.4800000000000003,0.05456122300473131,0.4800000000000003,0.1047659576201803,0.4800000000000003,0.07733894050897529,0.4800000000000003,0.1483695553066661
0.4900000000000003,0.0545294155381273,0.4900000000000003,0.1046980948124954,0.4900000000000003,0.07761902723467537,0.4900000000000003,0.1488134661264644
0.5000000000000002,0.0544944554429174,0.5000000000000002,0.1046234149039662,0.5000000000000002,0.07784443485615138,0.5000000000000002,0.1491547653571634
0.5100000000000002,0.05445796467698331,0.5100000000000002,0.1045450608770621,0.5100000000000002,0.07801998078029175,0.5100000000000002,0.1494034010982219
0.5200000000000002,0.05442153778568249,0.5200000000000002,0.1044661282518313,0.5200000000000002,0.07815080000408502,0.5200000000000002,0.1495697751203157
0.5300000000000002,0.05438671535621254,0.5300000000000002,0.1043896142225078,0.5300000000000002,0.07824222824499234,0.5300000000000002,0.1496645463510388
0.5400000000000003,0.05435495980164359,0.5400000000000003,0.104318371119643,0.5400000000000003,0.07829966639936993,0.5400000000000003,0.1496983512268353
0.5500000000000003,0.05432763353023734,0.5500000000000003,0.104255062244723,0.5500000000000003,0.07832847372554069,0.5500000000000003,0.1496816191521373
0.5600000000000003,0.05430598010071877,0.5600000000000003,0.1042021257759692,0.5600000000000003,0.07833387072504384,0.5600000000000003,0.1496244004788307
0.5700000000000003,0.05429111964318031,0.5700000000000003,0.1041617768506555,0.5700000000000003,0.07832085678618329,0.5700000000000003,0.1495362254199488
0.5800000000000003,0.05428401290124527,0.5800000000000003,0.1041359167123997,0.5800000000000003,0.07829414369739705,0.5800000000000003,0.1494259945730405
0.5900000000000003,0.05428552995330527,0.5900000000000003,0.1041262961645938,0.5900000000000003,0.07825810513092606,0.5900000000000003,0.1493019001998667
0.6000000000000003,0.05429633616492543,0.6000000000000003,0.1041342553790792,0.6000000000000003,0.07821674146311089,0.6000000000000003,0.149171376155583
0.6100000000000003,0.0543169731190789,0.6100000000000003,0.1041609068109939,0.6100000000000003,0.07817365869322285,0.6100000000000003,0.1490410734000548
0.6200000000000003,0.05434784201520854,0.6200000000000003,0.1042070956176367,0.6200000000000003,0.07813205979243021,0.6200000000000003,0.1489168574139274
0.6300000000000003,0.05438921027314744,0.6300000000000003,0.1042734118130374,0.6300000000000003,0.07809474656750059,0.6300000000000003,0.1488038235756664
0.6400000000000003,0.05444121987715485,0.6400000000000003,0.1043602057281272,0.6400000000000003,0.0780641300435016,0.6400000000000003,0.1487063265832656
0.6500000000000004,0.0545038970010439,0.6500000000000004,0.1044676059074302,0.6500000000000004,0.07804224742451966,0.6500000000000004,0.1486280202551682
0.6600000000000004,0.05457716248429422,0.6600000000000004,0.1045955386210123,0.6600000000000004,0.07803078384390597,0.6600000000000004,0.1485719044434881
0.6700000000000004,0.05466084278319425,0.6700000000000004,0.1047437482761805,0.6700000000000004,0.07803109319634746,0.6700000000000004,0.1485403601944055
0.6800000000000004,0.05475468107912344,0.6800000000000004,0.1049118181265489,0.6800000000000004,0.07804424505987348,0.6800000000000004,0.1485352755930246
0.6900000000000004,0.05485834828381881,0.6900000000000004,0.1050991907880729,0.6900000000000004,0.0780710167347476,0.6900000000000004,0.1485579775379746
0.7000000000000004,0.05497145373584461,0.7000000000000004,0.1053051881767876,0.7000000000000004,0.07811194829762513,0.7000000000000004,0.1486093740776736
0.7100000000000004,0.055093555431651,0.7100000000000004,0.1055290305775272,0.7100000000000004,0.07816736174202879,0.7100000000000004,0.1486899800339994
0.7200000000000004,0.05522416967756946,0.7200000000000004,0.1057698546350332,0.7200000000000004,0.07823738674557229,0.7200000000000004,0.1487999645457135
0.7300000000000004,0.05536278008553659,0.7300000000000004,0.1060267301281178,0.7300000000000004,0.07832198498787536,0.7300000000000004,0.1489391954517413
0.7400000000000004,0.05550884586545071,0.7400000000000004,0.1062986754442445,0.7400000000000004,0.07842097283753054,0.7400000000000004,0.1491072803265476
0.7500000000000004,0.05566180939139159,0.7500000000000004,0.106584671717227,0.7500000000000004,0.0785340423166799,0.7500000000000004,0.1493036041168969
0.7600000000000005,0.05582110303798082,0.7600000000000005,0.1068836756258659,0.7600000000000005,0.07866078032097372,0.7600000000000005,0.1495273634349279
0.7700000000000005,0.05598615529784792,0.7700000000000005,0.1071946308778924,0.7700000000000005,0.07880068612211628,0.7700000000000005,0.1497775976338942
0.7800000000000005,0.05615639620206403,0.7800000000000005,0.1075164784229611,0.7800000000000005,0.0789531872138918,0.7800000000000005,0.1500532168376734
0.7900000000000005,0.05633126207328415,0.7900000000000005,0.1078481654520072,0.7900000000000005,0.07911765358391974,0.7900000000000005,0.1503530271197266
0.8000000000000005,0.05651019964677894,0.8000000000000005,0.1081886532493029,0.8000000000000005,0.07929341050553201,0.8000000000000005,0.1506757530372002
0.8100000000000005,0.05669266959806921,0.8100000000000005,0.1085369239690014,0.8100000000000005,0.07947974994961743,0.8100000000000005,0.1510200577257685
0.8200000000000005,0.05687814951796987,0.8200000000000005,0.1088919864108774,0.8200000000000005,0.07967594071708799,0.8200000000000005,0.151384560754045
0.8300000000000005,0.05706613637681381,0.8300000000000005,0.1092528808708576,0.8300000000000005,0.07988123739037378,0.8300000000000005,0.151767853925746
0.8400000000000005,0.05725614851985729,0.8400000000000005,0.1096186831415764,0.8400000000000005,0.08009488819824093,0.8400000000000005,0.1521685152050531
0.8500000000000005,0.05744772723544175,0.8500000000000005,0.1099885077368465,0.8500000000000005,0.08031614188316276,0.8500000000000005,0.1525851209272931
0.8600000000000005,0.0576404379367793,0.8600000000000005,0.1103615104121465,0.8600000000000005,0.08054425365501572,0.8600000000000005,0.1530162564440558
0.8700000000000006,0.05783387099718641,0.8700000000000006,0.1107368900509931,0.8700000000000006,0.08077849030947261,0.8700000000000006,0.1534605253396734
0.8800000000000006,0.05802764227744581,0.8800000000000006,0.1111138899848291,0.8800000000000006,0.08101813458434291,0.8800000000000006,0.1539165573450519
0.8900000000000006,0.05822139338273748,0.8900000000000006,0.1114917988117314,0.8900000000000006,0.0812624888224603,0.8900000000000006,0.154383015065186
0.9000000000000006,0.0584147916852999,0.9000000000000006,0.1118699507770027,0.9000000000000006,0.08151087800545902,0.9000000000000006,0.1548585996284005
0.9100000000000006,0.05860753014769669,0.9100000000000006,0.1122477257765227,0.9100000000000006,0.0817626522191061,0.9100000000000006,0.1553420553582603
0.9200000000000006,0.05879932698021902,0.9200000000000006,0.112624549041585,0.9200000000000006,0.08201718860749489,0.9200000000000006,0.1558321735629925
0.9300000000000006,0.05898992516461777,0.9300000000000006,0.112999890561792,0.9300000000000006,0.08227389287044513,0.9300000000000006,0.1563277955321564
0.9400000000000006,0.05917909187484256,0.9400000000000006,0.1133732643002321,0.9400000000000006,0.08253220035566182,0.9400000000000006,0.1568278148255947
0.9500000000000006,0.05936661782387152,0.9500000000000006,0.1137442272526117,0.9500000000000006,0.08279157679459254,0.9500000000000006,0.1573311789354911
0.9600000000000006,0.05955231656382038,0.9600000000000006,0.1141123783989808,0.9600000000000006,0.08305151872820835,0.9600000000000006,0.1578368903981463
0.9700000000000006,0.05973602376435001,0.9700000000000006,0.1144773575930893,0.9700000000000006,0.08331155366617772,0.9700000000000006,0.1583440074277116
0.9800000000000006,0.05991759649183613,0.9800000000000006,0.1148388444301034,0.9800000000000006,0.08357124001981137,0.9800000000000006,0.1588516441393713
0.9900000000000007,0.06009691250881101,0.9900000000000007,0.1151965571282865,0.9900000000000007,0.08383016684583336,0.9900000000000007,0.1593589704240725
1,0.06027386960982026,1,0.1155502514543299,1,0.08408795343429012,1,0.1598652115309561
