"Gmin re (L=4e-08,M=10) X","Gmin re (L=4e-08,M=10) Y","Gmin re (L=4e-08,M=20) X","Gmin re (L=4e-08,M=20) Y","Gmin re (L=8e-08,M=10) X","Gmin re (L=8e-08,M=10) Y","Gmin re (L=8e-08,M=20) X","Gmin re (L=8e-08,M=20) Y"
0,0.9889792106112637,0,0.9770131944111233,0,0.982839860599292,0,0.9652868555449785
0.01,0.9893977808846619,0.01,0.9775846352623382,0.01,0.9828967871656954,0.01,0.9654127202830342
0.02,0.9898569773630919,0.02,0.9782341258034312,0.02,0.9829547565887937,0.02,0.9655385819738397
0.03,0.9903499035008128,0.03,0.9789595949917701,0.03,0.9830144731907138,0.03,0.965665292324535
0.04,0.990867060199831,0.04,0.9797538888330857,0.04,0.9830768542650398,0.04,0.9657939527885814
0.05,0.9913970607502168,0.05,0.9806045477058773,0.05,0.9831430952214192,0.05,0.9659259972930436
0.06,0.9919274150028985,0.06,0.981494141103621,0.06,0.9832148610364588,0.06,0.966063567563564
0.07000000000000001,0.992445644929425,0.07000000000000001,0.9824014023418463,0.07000000000000001,0.9832943320508627,0.07000000000000001,0.9662095002107101
0.08,0.9929404382539943,0.08,0.9833037387590117,0.08,0.9833837645572958,0.08,0.9663662365561639
0.09,0.9934014260040314,0.09,0.9841777483331721,0.09,0.9834864236236935,0.09,0.9665378652644016
0.09999999999999999,0.9938194837656023,0.09999999999999999,0.9850007462913484,0.09999999999999999,0.9836063930971791,0.09999999999999999,0.9667296197010586
0.11,0.9941865523956223,0.11,0.9857514432999597,0.11,0.9837486770483508,0.11,0.9669481074580164
0.12,0.9944953637733631,0.12,0.986410133363914,0.12,0.9839192375708052,0.12,0.9672015137618872
0.13,0.994739265529624,0.13,0.9869586421172225,0.13,0.9841249068309661,0.13,0.9674997110348587
0.14,0.9949123221214616,0.14,0.9873804141289249,0.14,0.9843730902970643,0.14,0.967854164239778
0.15,0.9950097662791971,0.15,0.9876610896541468,0.15,0.9846711697224675,0.15,0.9682774738260165
0.16,0.9950286732152857,0.16,0.9877896633043267,0.16,0.9850255402476193,0.16,0.968782367901968
0.17,0.9949685231630178,0.17,0.9877598644831719,0.17,0.9854402998133084,0.17,0.9693799858718124
0.18,0.9948312982552637,0.18,0.9875710370578982,0.18,0.9859157571918001,0.18,0.9700774410264587
