/M0/D (M=1) X,/M0/D (M=1) Y,/M0/D (M=10) X,/M0/D (M=10) Y,/M0/D (M=20) X,/M0/D (M=20) Y
0.2900000000000001,1.26966760211445e-05,0.2900000000000001,8.721474959543949e-05,0.2900000000000001,0.0001563261234300549
0.3000000000000001,1.487522052397149e-05,0.3000000000000001,0.0001034383028969462,0.3000000000000001,0.000186049878284338
0.3100000000000001,1.734245809524729e-05,0.3100000000000001,0.0001220563821611676,0.3100000000000001,0.0002202926695686539
0.3200000000000001,2.012262015612731e-05,0.3200000000000001,0.000143303730087504,0.3200000000000001,0.000259517224900915
0.3300000000000001,2.324056874936595e-05,0.3300000000000001,0.0001674230764055245,0.3300000000000001,0.0003042035424097332
0.3400000000000001,2.672159603365593e-05,0.3400000000000001,0.0001946646324310246,0.3400000000000001,0.000354847818736335
0.3500000000000001,3.059154136561897e-05,0.3500000000000001,0.0002252854897969021,0.3500000000000001,0.0004119612724961883
0.3600000000000002,3.487653914898798e-05,0.3600000000000002,0.0002595487738853319,0.3600000000000002,0.0004760685858385457
0.3700000000000002,3.960286096703235e-05,0.3700000000000002,0.000297722396846668,0.3700000000000002,0.0005477056561893495
0.3800000000000002,4.479666411974921e-05,0.3800000000000002,0.0003400772721808162,0.3800000000000002,0.0006274163649800215
0.3900000000000002,5.048367339703628e-05,0.3900000000000002,0.0003868848911051638,0.3900000000000002,0.0007157481299367558
0.4000000000000002,5.668880087918181e-05,0.4000000000000002,0.0004384142161792619,0.4000000000000002,0.0008132461061200742
0.4100000000000002,6.343571508929441e-05,0.4100000000000002,0.0004949279138986607,0.4100000000000002,0.0009204460275448998
0.4200000000000002,7.07463767213633e-05,0.4200000000000002,0.0005566780181010411,0.4200000000000002,0.001037865822007247
0.4300000000000002,7.864056282604784e-05,0.4300000000000002,0.0006239011825094315,0.4300000000000002,0.001165996271271038
0.4400000000000002,8.713540424529773e-05,0.4400000000000002,0.0006968137362733871,0.4400000000000002,0.001305291111514034
0.4500000000000002,9.624496189719431e-05,0.4500000000000002,0.0007756067946186078,0.4500000000000002,0.001456157060810643
0.4600000000000002,0.00010597986608974,0.4600000000000002,0.0008604416930370199,0.4600000000000002,0.001618944310374606
0.4700000000000003,0.0001163470395016338,0.4700000000000003,0.0009514460055726195,0.4700000000000003,0.001793938017743103
0.4800000000000003,0.0001273495191718533,0.4800000000000003,0.001048710376217768,0.4800000000000003,0.00198135129211658
0.4900000000000003,0.0001389863863547147,0.4900000000000003,0.001152286865778989,0.4900000000000003,0.002181320069717972
0.5000000000000002,0.0001512528061141791,0.5000000000000002,0.001262185873950301,0.5000000000000002,0.002393900150743731
0.5100000000000002,0.0001641401717653561,0.5100000000000002,0.00137837906280213,0.5100000000000002,0.002619066523573819
0.5200000000000002,0.0001776363433595349,0.5200000000000002,0.001500798699360889,0.5200000000000002,0.002856714952412229
0.5300000000000002,0.0001917259648304436,0.5300000000000002,0.001629340260769769,0.5300000000000002,0.003106665666767868
0.5400000000000003,0.0002063908414463115,0.5400000000000003,0.001763865455904855,0.5400000000000003,0.003368668877652458
0.5500000000000003,0.0002216103579031996,0.5500000000000003,0.00190420591400652,0.5500000000000003,0.0036424117643037
0.5600000000000003,0.000237361917620284,0.5600000000000003,0.002050167337787775,0.5600000000000003,0.003927526530043439
0.5700000000000003,0.0002536213852891911,0.5700000000000003,0.002201533918271833,0.5700000000000003,0.004223599115433906
0.5800000000000003,0.0002703635171408173,0.5800000000000003,0.00235807282223039,0.5800000000000003,0.004530179117903805
0.5900000000000003,0.0002875623663577225,0.5900000000000003,0.002519538586949877,0.5900000000000003,0.004846785000730037
0.6000000000000003,0.000305191654238234,0.6000000000000003,0.002685677287236887,0.6000000000000003,0.005172918014693267
0.6100000000000003,0.0003232251008281612,0.6100000000000003,0.002856230372423256,0.6100000000000003,0.005508066592684492
0.6200000000000003,0.0003416367115694326,0.6200000000000003,0.003030938103585588,0.6200000000000003,0.005851714362033119
0.6300000000000003,0.0003604010189399389,0.6300000000000003,0.003209542550974504,0.6300000000000003,0.006203346436153567
0.6400000000000003,0.0003794932800111285,0.6400000000000003,0.003391790137288317,0.6400000000000003,0.006562454801715521
0.6500000000000004,0.0003988896323202598,0.6500000000000004,0.003577433733191036,0.6500000000000004,0.006928542802287585
0.6600000000000004,0.0004185672114730399,0.6600000000000004,0.00376623432722532,0.6600000000000004,0.007301128754117702
0.6700000000000004,0.0004385042345149499,0.6700000000000004,0.003957962303297135,0.6700000000000004,0.007679748754606709
0.6800000000000004,0.0004586800534038544,0.6800000000000004,0.00415239836577369,0.6800000000000004,0.008063958760173054
0.6900000000000004,0.0004790751829533482,0.6900000000000004,0.004349334155641893,0.6900000000000004,0.008453336018959199
0.7000000000000004,0.000499671307462889,0.7000000000000004,0.004548572601857506,0.7000000000000004,0.008847479946684073
0.7100000000000004,0.0005204512699665026,0.7100000000000004,0.004749928050679093,0.7100000000000004,0.009246012532338987
0.7200000000000004,0.0005413990476666772,0.7200000000000004,0.004953226213046576,0.7200000000000004,0.009648578355673705
0.7300000000000004,0.0005624997167134102,0.7300000000000004,0.005158303966455034,0.7300000000000004,0.01005484429162362
