NFmin_Bias (M=20) X,NFmin_Bias (M=20) Y,NFmin_Bias (M=10) X,NFmin_Bias (M=10) Y,NFmin_Bias (M=1) X,NFmin_Bias (M=1) Y
0.4950000000000003,0.4678965094514182,0.4950000000000003,0.4651169888334505,0.4950000000000003,0.656590429341915
0.5060000000000002,0.4505214989247691,0.5060000000000002,0.4479151395464009,0.5060000000000002,0.6315956773229525
0.5170000000000002,0.4348412740657102,0.5170000000000002,0.4323796510289818,0.5170000000000002,0.6089779884273919
0.5280000000000002,0.4206970333182343,0.5280000000000002,0.4183570593903939,0.5280000000000002,0.5885249799504089
0.5390000000000003,0.4079513397075999,0.5390000000000003,0.4057146960726377,0.5390000000000003,0.5700529164943848
0.5500000000000003,0.3964851425101257,0.5500000000000003,0.39433774536019,0.5500000000000003,0.5534025093795937
0.5610000000000003,0.3861951345496425,0.5610000000000003,0.384126656200871,0.5610000000000003,0.5384352948252087
0.5720000000000003,0.3769914742415215,0.5720000000000003,0.3749949249955412,0.5720000000000003,0.5250305630996022
0.5830000000000003,0.3687958650845351,0.5830000000000003,0.3668672343585678,0.5830000000000003,0.5130827861531243
0.5940000000000003,0.3615399629593393,0.5940000000000003,0.3596779133281681,0.5940000000000003,0.5024994765746347
0.6050000000000003,0.3551640682535762,0.6050000000000003,0.3533696734493352,0.6050000000000003,0.493199401973446
0.6160000000000003,0.3496160520466223,0.6160000000000003,0.3478925620887731,0.6160000000000003,0.4851110737662439
0.6270000000000003,0.3448504610868992,0.6270000000000003,0.3432030869367998,0.6270000000000003,0.4781714271566612
0.6380000000000003,0.3408277438349879,0.6380000000000003,0.339263435026368,0.6380000000000003,0.4723246106207446
0.6490000000000004,0.3375135392367001,0.6490000000000004,0.3360407370629971,0.6490000000000004,0.4675208108452322
0.6600000000000004,0.3348779721012702,0.6600000000000004,0.3335063153372678,0.6600000000000004,0.463715056277026
0.6710000000000004,0.3328949061109342,0.6710000000000004,0.3316348694285899,0.6710000000000004,0.460865972557741
0.6820000000000004,0.3315411204619217,0.6820000000000004,0.3304035736982536,0.6820000000000004,0.4589345069667042
0.6930000000000004,0.3307934905899528,0.6930000000000004,0.3297892379730279,0.6930000000000004,0.4578816401680377
