S21 (M=10) X,S21 (M=10) Y,S21 (M=20) X,S21 (M=20) Y,S21 (M=1) X,S21 (M=1) Y
0,-37.32237127306352,0,-30.98180488621021,0,-57.62752776668967
0.011,-37.32032766264648,0.011,-30.98058435661255,0.011,-57.62456287311903
0.022,-37.31806139942195,0.022,-30.97914084697574,0.022,-57.62137100999826
0.033,-37.31553402209645,0.033,-30.97743763242498,0.033,-57.61790996754532
0.044,-37.31269713907588,0.044,-30.97542821757372,0.044,-57.61412597968239
0.05500000000000001,-37.3094891560711,0.05500000000000001,-30.97305326198115,0.05500000000000001,-57.60995007908573
0.066,-37.3058479423178,0.066,-30.9702617587331,0.066,-57.60529387559505
0.077,-37.30165481892563,0.077,-30.96693453411405,0.077,-57.60002568133237
0.08799999999999999,-37.29676807681664,0.08799999999999999,-30.96293300601375,0.08799999999999999,-57.59396680488388
0.09899999999999999,-37.2909961782742,0.09899999999999999,-30.95807697162622,0.09899999999999999,-57.58685952785059
0.11,-37.28407028976958,0.11,-30.95211668730577,0.11,-57.57832359375819
0.121,-37.27560458796523,0.121,-30.94469860020324,0.121,-57.56778735449134
0.132,-37.26503406025072,0.132,-30.93531196095808,0.132,-57.55437942304916
0.143,-37.25151722090101,0.143,-30.92320557814674,0.143,-57.53675987957003
0.154,-37.23378497919128,0.154,-30.90725854042735,0.154,-57.51286136792635
0.165,-37.2099087853123,0.165,-30.88578138604385,0.165,-57.47950107586984
0.176,-37.17695201289934,0.176,-30.85621536083615,0.176,-57.43181899545087
0.187,-37.13046168749968,0.187,-30.81468931758613,0.187,-57.36250698003721
0.198,-37.06376196871928,0.198,-30.75539287912139,0.198,-57.26083961478643
0.209,-36.96704515218399,0.209,-30.66974527482381,0.209,-57.11163943751224
0.2200000000000001,-36.82635350436522,0.2200000000000001,-30.54540919190751,0.2200000000000001,-56.89454595445022
0.2310000000000001,-36.62274689584655,0.2310000000000001,-30.36535750818399,0.2310000000000001,-56.58429508858815
0.2420000000000001,-36.33226339011208,0.2420000000000001,-30.10747405451234,0.2420000000000001,-56.15295532907592
0.2530000000000001,-35.92756718748207,0.2530000000000001,-29.74548939846658,0.2530000000000001,-55.57473320738918
0.2640000000000001,-35.38204303484419,0.2640000000000001,-29.25212658556125,0.2640000000000001,-54.83260050418744
0.2750000000000001,-34.67603273529233,0.2750000000000001,-28.60465103208228,0.2750000000000001,-53.92409640765906
0.2860000000000001,-33.80306813167852,0.2860000000000001,-27.79138538497827,0.2860000000000001,-52.86307300316507
0.2970000000000001,-32.77285963238736,0.2970000000000001,-26.81617163883075,0.2970000000000001,-51.67623122959564
0.3080000000000001,-31.60916324520264,0.3080000000000001,-25.69813801728362,0.3080000000000001,-50.3964747470425
0.3190000000000001,-30.34375761883805,0.3190000000000001,-24.46683486074073,0.3190000000000001,-49.05642184620972
0.3300000000000001,-29.0097273137722,0.3300000000000001,-23.15546482343574,0.3300000000000001,-47.68422207733891
0.3410000000000001,-27.63662920395239,0.3410000000000001,-21.79522551709211,0.3410000000000001,-46.30193518498864
0.3520000000000001,-26.24825975138143,0.3520000000000001,-20.41216344777075,0.3520000000000001,-44.92567186222925
0.3630000000000002,-24.8624185422758,0.3630000000000002,-19.02631031406889,0.3630000000000002,-43.56657748479413
0.3740000000000002,-23.49173313768382,0.3740000000000002,-17.65220700568192,0.3740000000000002,-42.23203445347367
