NFmin_Bias (M=10) X,NFmin_Bias (M=10) Y,NFmin_Bias (M=20) X,NFmin_Bias (M=20) Y,NFmin_Bias (M=1) X,NFmin_Bias (M=1) Y
0.2750000000000001,0.8879105670806291,0.2750000000000001,0.9358995605120102,0.2750000000000001,1.145551744777093
0.2860000000000001,0.937950060917715,0.2860000000000001,0.9806543780769733,0.2860000000000001,1.223454605917019
0.2970000000000001,0.9856835401934729,0.2970000000000001,1.022664196565642,0.2970000000000001,1.299755114216883
0.3080000000000001,1.027114486224189,0.3080000000000001,1.058152988266746,0.3080000000000001,1.368062246165288
0.3190000000000001,1.057839178529936,0.3190000000000001,1.083042193882889,0.3190000000000001,1.421068503508625
0.3300000000000001,1.073970722294822,0.3300000000000001,1.093816347658996,0.3300000000000001,1.452108702970824
0.3410000000000001,1.073282353466398,0.3410000000000001,1.088563656952164,0.3410000000000001,1.457153989443062
0.3520000000000001,1.055980650468775,0.3520000000000001,1.067654884278195,0.3520000000000001,1.436200792104516
0.3630000000000002,1.024604031953053,0.3630000000000002,1.033615369588751,0.3630000000000002,1.393140952671904
0.3740000000000002,0.9831104927493264,0.3740000000000002,0.9902620996012,0.3740000000000002,1.334220783699847
0.3850000000000002,0.9357219294041321,0.3850000000000002,0.9416271546284942,0.3850000000000002,1.266097631962117
0.3960000000000002,0.8860722975268798,0.3960000000000002,0.8911666166108356,0.3960000000000002,1.194442719620048
0.4070000000000002,0.8368419347307314,0.4070000000000002,0.8414216879252839,0.4070000000000002,1.12337642811612
0.4180000000000002,0.7897639349036227,0.4180000000000002,0.7940272410993297,0.4180000000000002,1.055514047831083
0.4290000000000002,0.7458096712272068,0.4290000000000002,0.7498890139177533,0.4290000000000002,0.9922868527187625
0.4400000000000002,0.7054120701937123,0.4400000000000002,0.7093970140040353,0.4400000000000002,0.9343069301998215
0.4510000000000002,0.6686582986302576,0.4510000000000002,0.6726102834525816,0.4510000000000002,0.8816716508942932
0.4620000000000002,0.6354325456422073,0.4620000000000002,0.6393942326044613,0.4620000000000002,0.8341833948780861
0.4730000000000003,0.6055125054687346,0.4730000000000003,0.6095136460615151,0.4730000000000003,0.7914946402629075
0.4840000000000003,0.5786302832914557,0.4840000000000003,0.5826914454318601,0.4840000000000003,0.7531975967320627
0.4950000000000003,0.5545085040572406,0.4950000000000003,0.5586434929946861,0.4950000000000003,0.7188761844553304
0.5060000000000002,0.5328802147073437,0.5060000000000002,0.5370976981901564,0.5060000000000002,0.6881339186461259
0.5170000000000002,0.5134986457032565,0.5170000000000002,0.5178032900080098,0.5170000000000002,0.6606070253630009
0.5280000000000002,0.4961409544107115,0.5280000000000002,0.5005342557750756,0.5280000000000002,0.6359689627969616
0.5390000000000003,0.4806085871002542,0.5390000000000003,0.4850895098768549,0.5390000000000003,0.6139302061539421
0.5500000000000003,0.4667258961800533,0.5500000000000003,0.4712913848243899,0.5500000000000003,0.5942356681914472
0.5610000000000003,0.4543379897440476,0.5610000000000003,0.4589833948171911,0.5610000000000003,0.576661139936256
0.5720000000000003,0.4433083682816097,0.5720000000000003,0.4480278101979177,0.5720000000000003,0.5610095277435466
0.5830000000000003,0.4335166413821437,0.5830000000000003,0.4383033256923871,0.5830000000000003,0.5471072876326517
0.5940000000000003,0.4248564602966274,0.5940000000000003,0.4297029524631888,0.5940000000000003,0.5348012359946059
0.6050000000000003,0.4172337125125775,0.6050000000000003,0.4221321768978806,0.6050000000000003,0.5239557903213257
0.6160000000000003,0.4105649767057126,0.6160000000000003,0.4155073828796135,0.6160000000000003,0.5144506273161138
0.6270000000000003,0.404776213875555,0.6270000000000003,0.4097545126999662,0.6270000000000003,0.5061787149869269
0.6380000000000003,0.3998016626650849,0.6380000000000003,0.4048079342210437,0.6380000000000003,0.499044664783687
0.6490000000000004,0.3955829046121089,0.6490000000000004,0.4006094817788047,0.6490000000000004,0.4929633502007472
0.6600000000000004,0.3920680739642102,0.6600000000000004,0.397107641650579,0.6600000000000004,0.4878587437530233
0.6710000000000004,0.3892111819378858,0.6710000000000004,0.3942568574054727,0.6710000000000004,0.483662931649232
0.6820000000000004,0.3869715390152326,0.6820000000000004,0.3920169348869067,0.6820000000000004,0.4803152729027204
0.6930000000000004,0.3853273664127842,0.6930000000000004,0.3903661488750062,0.6930000000000004,0.4777773988910033
0.7040000000000004,0.3842327780173536,0.7040000000000004,0.389259959397794,0.7040000000000004,0.4759889149527547
0.7150000000000004,0.3836620536136384,0.7150000000000004,0.3886730354956225,0.7150000000000004,0.4749035869788836
0.7260000000000004,0.3835901388263419,0.7260000000000004,0.3885808994700077,0.7260000000000004,0.4744844079101252
0.7370000000000004,0.3839964855398875,0.7370000000000004,0.3889636542900207,0.7370000000000004,0.4746973006970884
0.7480000000000004,0.3848636621007077,0.7480000000000004,0.3898045154662558,0.7480000000000004,0.4755128319402857
0.7590000000000005,0.3861771060380124,0.7590000000000005,0.3910896297190783,0.7590000000000005,0.4769053096179489
0.7700000000000005,0.3879248837590624,0.7700000000000005,0.3928077286686052,0.7700000000000005,0.4788524532249671
0.7810000000000005,0.3900974473703767,0.7810000000000005,0.3949499538923368,0.7810000000000005,0.4813350767910051
0.7920000000000005,0.3926873780050344,0.7920000000000005,0.3975095795178852,0.7920000000000005,0.4843367754637184
0.8030000000000005,0.3956891056522943,0.8030000000000005,0.4004817279699062,0.8030000000000005,0.4878436067602323
0.8140000000000005,0.3990985972653509,0.8140000000000005,0.4038630522584349,0.8140000000000005,0.4918437589809696
0.8250000000000005,0.4029130082384486,0.8250000000000005,0.4076513795989074,0.8250000000000005,0.4963272015497832
0.8360000000000005,0.4071302974279689,0.8360000000000005,0.4118453164840062,0.8360000000000005,0.5012853156017774
0.8470000000000005,0.4117488126527208,0.8470000000000005,0.4164438224322972,0.8470000000000005,0.5067105078457047
0.8580000000000005,0.4167668614964242,0.8580000000000005,0.4214457679256938,0.8580000000000005,0.512595816367227
0.8690000000000005,0.4221822901696728,0.8690000000000005,0.4268495003719128,0.8690000000000005,0.5189345229694566
0.8800000000000006,0.4279920995966863,0.8800000000000006,0.4326524486263701,0.8800000000000006,0.5257197918758096
0.8910000000000006,0.4341921310107931,0.8910000000000006,0.4388507998282123,0.8910000000000006,0.5329443579565734
0.9020000000000006,0.4407768516831455,0.9020000000000006,0.4454392804820729,0.9020000000000006,0.5406002879515189
