s21 (Lg=8.3e-09) X,s21 (Lg=8.3e-09) Y
151356124.8436203,-39.34925193086546
154881661.8912476,-38.94930724305219
158489319.2461108,-38.54936508022289
162181009.7358924,-38.14942555349787
165958690.7437554,-37.74948877849803
169824365.2461738,-37.34955487544723
173780082.8749368,-36.94962396932871
177827941.0038916,-36.54969619003612
181970085.8609976,-36.1497716724745
186208713.666286,-35.74985055671902
190546071.7963239,-35.34993298816389
194984459.9758037,-34.95001911758405
199526231.4968871,-34.55010910129897
204173794.4669521,-34.15020310129048
208929613.0854031,-33.7503012852585
213796208.9502223,-33.35040382677089
218776162.3949543,-32.95051090530986
223872113.856833,-32.5506227063238
229086765.2767763,-32.15073942128564
234422881.5319912,-31.75086124773012
239883291.9019479,-31.35098838923718
245470891.5685019,-30.95112105542457
251188643.1509568,-30.55125946186363
257039578.2768852,-30.15140383002985
263026799.189537,-29.75155438713668
269153480.3926903,-29.35171136599699
275422870.3338153,-28.95187500476224
281838293.126444,-28.55204554667
288403150.3126592,-28.15222323970873
295120922.6666371,-27.75240833615969
301995172.0402001,-27.3526010921578
309029543.2513575,-26.95280176708106
316227766.0168363,-26.55301062289747
323593656.9296266,-26.15322792331466
331131121.4825894,-25.75345393296118
338844156.1392008,-25.35368891627818
346736850.4525298,-24.95393313634015
354813389.2335736,-24.55418685349865
363078054.7700995,-24.15445032382034
371535229.0971706,-23.75472379738103
380189396.3205592,-23.35500751624216
389045144.9942786,-22.95530171228512
398107170.5534952,-22.55560660463872
407380277.8041106,-22.15592239699749
416869383.4703332,-21.75624927437319
426579518.8015904,-21.35658739972644
436515832.2401636,-20.95693690995963
446683592.1509607,-20.55729791166811
457088189.6148725,-20.15767047631697
467735141.2871956,-19.75805463483798
478630092.3226357,-19.35845037177663
489778819.3684435,-18.95885761868431
501187233.6272695,-18.5592762468883
512861383.991362,-18.15970605945665
524807460.2497696,-17.76014678233395
537031796.3702496,-17.36059805459027
549540873.8576213,-16.96105941767649
562341325.1903458,-16.5615303035521
575439937.3371536,-16.1620100216802
588843655.3555855,-15.76249774473238
602559586.0743542,-15.36299249282622
616595001.8614784,-14.96349311630606
630957344.4801894,-14.56399827690266
645654229.0346516,-14.16450642693028
660693448.007592,-13.76501578669733
676082975.3919777,-13.3655243197449
691830970.9189323,-12.96602970568373
707945784.3841336,-12.56652931070612
724435960.0749856,-12.16702015527603
741310241.300913,-11.76749887894602
758577575.0291791,-11.36796170202281
776247116.6286869,-10.96840438384697
794328234.7242765,-10.56882217731132
812830516.1640941,-10.16920977957719
831763771.1026657,-9.769561278396827
851138038.202371,-9.369870093881172
870963589.9560751,-8.970128915392412
891250938.1337398,-8.570329633088374
912010839.3559039,-8.170463263819395
933254300.796985,-7.770519870898809
954992586.0214298,-7.370488477467512
977237220.9558043,-6.97035697273555
999999999.9999934,-6.570112010940685
1023292992.280747,-6.169738902220939
1047128548.050893,-5.769221495137964
1071519305.237599,-5.368542050117528
1096478196.143178,-4.967681103310873
1122018454.301956,-4.566617320275127
1148153621.496875,-4.165327338813304
1174897554.939522,-3.763785600378173
1202264434.617405,-3.361964169316876
1230268770.812373,-2.95983253920053
1258925411.794159,-2.557357425685033
1288249551.693125,-2.154502544971673
1318256738.556398,-1.751228377076174
1348962882.591645,-1.347491913321198
1380384264.602875,-0.9432463868867625
1412537544.622745,-0.5384409857573519
1445439770.745918,-0.1330205471636491
1479108388.168197,0.2730747675527464
1513561248.436198,0.6799098185575621
1548816618.91247,1.087554854627579
1584893192.461102,1.496085902843746
1621810097.358918,1.905585181999084
1659586907.437549,2.316141540918989
1698243652.461732,2.727850922932639
1737800828.749363,3.140816857838533
1778279410.03891,3.555150982787714
1819700858.60997,3.970973593814982
1862087136.662854,4.388414229303025
1905460717.963233,4.807612287645095
1949844599.758031,5.228717680938929
1995262314.968865,5.651891526832906
2041737944.669514,6.077306881181483
2089296130.854024,6.505149514167075
2137962089.502216,6.935618732928113
2187761623.949536,7.368928254296851
2238721138.568323,7.805307131377392
2290867652.767756,8.245000738465144
2344228815.319904,8.688271819369906
2398832919.019472,9.135401604758016
2454708915.685011,9.586691005050756
2511886431.509561,10.04246188632689
2570395782.768844,10.50305843767249
2630267991.895361,10.9688486398945
2691534803.926895,11.44022584667806
2754228703.338145,11.91761049113102
2818382931.264431,12.40145193297765
2884031503.126583,12.89223046311916
2951209226.666362,13.39045948628168
3019951720.401992,13.89668790450603
3090295432.513566,14.41150272878669
3162277660.168354,14.93553195049833
3235936569.296257,15.46944770880031
3311311214.825884,16.01396979691751
3388441561.391998,16.56986955641912
3467368504.525289,17.13797421579392
3548133892.335726,17.71917173824814
3630780547.700984,18.31441625013513
3715352290.971695,18.92473412932246
3801893963.205581,19.5512308350843
3890451449.942774,20.19509855846626
3981071705.534939,20.85762475674233
4073802778.041093,21.54020159750583
4168693834.703319,22.24433626253727
4265795188.015891,22.97166192012042
4365158322.401623,23.72394892414923
4466835921.509593,24.50311536600899
4570881896.148711,25.31123536959855
4677351412.871942,26.15054228668869
4786300923.226342,27.02342189108803
4897788193.68442,27.93238725579215
5011872336.272679,28.88002135295304
5128613839.913604,29.86886413955369
5248074602.49768,30.90120577104816
5370317963.702479,31.9787233384822
5495408738.576197,33.10186082678852
5623413251.90344,34.2687968722728
5754399373.371517,35.4737743894114
5888436553.555836,36.70450498380284
6025595860.743522,37.93839595258491
6165950018.614764,39.13769153452857
6309573444.801873,40.24462634659657
6456542290.346495,41.17951551695229
6606934480.075898,41.84625620991467
6760829753.919754,42.14801952237423
6918309709.1893,42.00979800769599
7079457843.841312,41.39960242151437
7244359600.749832,40.34056047797228
7413102413.009105,38.90695596197618
7585775750.291765,37.20214408218931
7762471166.286843,35.32970811406984
7943282347.242739,33.3737348288162
8128305161.640914,31.3931520474171
8317637711.026629,29.42504002754952
8511380382.023682,27.49069634532643
8709635899.56072,25.60113338334851
8912509381.337368,23.7610787659925
9120108393.559008,21.9715997251664
9332543007.969818,20.23173133034725
9549925860.214264,18.53945334917728
9772372209.558008,16.89226216357007
9999999999.999899,15.28749768125814
10232929922.80744,13.72252440913817
10471285480.50889,12.19482677922283
10715193052.37595,10.70205471333609
10964781961.43174,9.242040827422304
11220184543.01952,7.812801931094983
11481536214.96871,6.412532259800381
11748975549.39517,5.03959276226714
12022644346.174,3.692498914670164
12302687708.12368,2.369908436224923
12589254117.94154,1.070609635653158
12882495516.9312,-0.2064892594110455
13182567385.56393,-1.462369651233705
13489628825.91639,-2.69791097821056
13803842646.0287,-3.913898019165952
14125375446.22739,-5.111027163237475
14454397707.45912,-6.289911723438628
14791083881.68191,-7.451086367770023
15135612484.36192,-8.59501073704245
15488166189.12465,-9.722072306466067
15848931924.61096,-10.83258854007067
