pnoise_F (Lg=8.3e-09) X,pnoise_F (Lg=8.3e-09) Y
4000000000,3.104034541162178
4200000000,2.983464034035668
4400000000,2.861647255850051
4600000000,2.738945390354328
4800000000,2.615888325581523
5000000000,2.493176560244011
5200000000,2.37168628096638
5400000000,2.252475904951524
5600000000,2.136792368557617
5800000000,2.026075723251971
6000000000,1.921960082567602
6200000000,1.826271929032325
6400000000,1.741032402691411
6600000000,1.668504140158953
6800000000,1.611448077283659
7000000000,1.575489602325765
7200000000,1.548682835290579
7400000000,1.54632798909674
7600000000,1.567602389110919
7800000000,1.61351996872423
8000000000,1.685039522504901
8200000000,1.78277518890829
8400000000,1.906870368403146
8600000000,2.056964484007194
8800000000,2.232210136834612
9000000000,2.431323162349543
9200000000,2.652656482044773
9400000000,2.894287210278534
9600000000,3.154109060314049
9800000000,3.429921576900322
10000000000,3.719510012804895
