/M0/D (M=1) X,/M0/D (M=1) Y,/M0/D (M=10) X,/M0/D (M=10) Y,/M0/D (M=20) X,/M0/D (M=20) Y
0,1.005158178912779e-10,0,9.805352319030058e-10,0,1.95388725038494e-09
0.01,1.329726218945738e-10,0.01,1.29919527084908e-09,0.01,2.591471833290122e-09
0.02,1.755677996301684e-10,0.02,1.723838696297293e-09,0.02,3.440222571004319e-09
0.03,2.321883685858334e-10,0.03,2.288843258550617e-09,0.03,4.569834094690065e-09
0.04,3.074361504282821e-10,0.04,3.040438109954808e-09,0.04,6.072913536397158e-09
0.05,4.07416013539795e-10,0.05,4.04000861587906e-09,0.05,8.072462633152914e-09
0.06,5.40222430907539e-10,0.06,5.369018776307177e-09,0.06,1.07317586350098e-08
0.07000000000000001,7.165631117045564e-10,0.07000000000000001,7.135327023076829e-09,0.07000000000000001,1.42670365703908e-08
0.08,9.506150513144287e-10,0.08,9.481877377492496e-09,0.08,1.896495272151386e-08
0.09,1.261138745206096e-09,0.09,1.259798903949357e-08,0.09,2.52052572825138e-08
0.09999999999999999,1.672929570229757e-09,0.09999999999999999,1.673409839062514e-08,0.09999999999999999,3.349042084620755e-08
0.11,2.218725961425266e-09,0.11,2.222114806921158e-08,0.11,4.448460431276202e-08
0.12,2.941703742631805e-09,0.12,2.949594933267055e-08,0.12,5.906464447700194e-08
0.13,3.898727797943875e-09,0.13,3.913426590310471e-08,0.13,7.838657397508592e-08
0.14,5.16457774511277e-09,0.14,5.189383205553454e-08,0.14,1.039721293604315e-07
0.15,6.837419548238552e-09,0.15,6.877008193271708e-08,0.15,1.378208364524881e-07
0.16,9.045861048914989e-09,0.16,9.10680402857931e-08,0.16,1.825546162110895e-07
0.17,1.195800662836618e-08,0.17,1.204946105738786e-07,0.17,2.416034338120593e-07
0.18,1.579301412499274e-08,0.18,1.592763881199489e-07,0.18,3.194423044917746e-07
0.19,2.083575374876725e-08,0.19,2.103091018835898e-07,0.19,4.218919268372846e-07
0.2,2.745527000912828e-08,0.2,2.773458046818087e-07,0.2,5.564972481220869e-07
0.21,3.612784686212493e-08,0.21,3.652319166233483e-07,0.21,7.330002308678053e-07
0.2200000000000001,4.746556347692344e-08,0.2200000000000001,4.801960758776017e-07,0.2200000000000001,9.639247733969509e-07
0.2300000000000001,6.225129011086209e-08,0.2300000000000001,6.302063282625715e-07,0.2300000000000001,1.265292863695618e-06
0.2400000000000001,8.148109502575036e-08,0.2400000000000001,8.254013330228608e-07,0.2400000000000001,1.657491294090274e-06
0.2500000000000001,1.064149982071733e-07,0.2500000000000001,1.078605816179826e-06,0.2500000000000001,2.166307313063003e-06
0.2600000000000001,1.386369029890952e-07,0.2600000000000001,1.405938341546946e-06,0.2600000000000001,2.824149196734018e-06
0.2700000000000001,1.801243576486105e-07,0.2700000000000001,1.827517557690903e-06,0.2700000000000001,3.671463824414856e-06
0.2800000000000001,2.333285539353823e-07,0.2800000000000001,2.368270522265069e-06,0.2800000000000001,4.758358165011275e-06
0.2900000000000001,3.012646830740843e-07,0.2900000000000001,3.058843777504232e-06,0.2900000000000001,6.146425688607653e-06
0.3000000000000001,3.876124807573401e-07,0.3000000000000001,3.936614960280896e-06,0.3000000000000001,7.910772937872483e-06
0.3100000000000001,4.968265416734062e-07,0.3100000000000001,5.046800280515463e-06,0.3100000000000001,1.014223663001794e-05
0.3200000000000001,6.342557899652968e-07,0.3200000000000001,6.443651334888115e-06,0.3200000000000001,1.294977796478727e-05
0.3300000000000001,8.062713197063867e-07,0.3300000000000001,8.191732990452346e-06,0.3300000000000001,1.646303732796321e-05
0.3400000000000001,1.020401552536608e-06,0.3400000000000001,1.036727117553976e-05,0.3400000000000001,2.083502662198487e-05
0.3500000000000001,1.285473097172837e-06,0.3500000000000001,1.305955322763951e-05,0.3500000000000001,2.624492370747131e-05
0.3600000000000002,1.611754595300853e-06,0.3600000000000002,1.637235153273058e-05,0.3600000000000002,3.290090903000619e-05
0.3700000000000002,2.011099012105981e-06,0.3700000000000002,2.042532183430618e-05,0.3700000000000002,4.104294512631965e-05
0.3800000000000002,2.49707726786226e-06,0.3800000000000002,2.535530106786635e-05,0.3800000000000002,5.094534614138164e-05
0.3900000000000002,3.08509307779933e-06,0.3900000000000002,3.131739905119596e-05,0.3900000000000002,6.291892336620881e-05
0.4000000000000002,3.792465925949524e-06,0.4000000000000002,3.848574978670888e-05,0.4000000000000002,7.731243627108999e-05
0.4100000000000002,4.638466972789443e-06,0.4100000000000002,4.705376891749172e-05,0.4100000000000002,9.451304143554321e-05
0.4200000000000002,5.644292081382174e-06,0.4200000000000002,5.723376073731366e-05,0.4200000000000002,0.0001149454274287135
0.4300000000000002,6.832957496195685e-06,0.4300000000000002,6.925573510566105e-05,0.4300000000000002,0.0001390693597839674
0.4400000000000002,8.229107119239806e-06,0.4400000000000002,8.336533203632754e-05,0.4400000000000002,0.0001673754371295399
0.4500000000000002,9.858725555088186e-06,0.4500000000000002,9.982080670659167e-05,0.4500000000000002,0.0002003789711933496
0.4600000000000002,1.174875766332363e-05,0.4600000000000002,0.0001188890951439413,0.4600000000000002,0.000238612039563336
0.4700000000000003,1.392664267315187e-05,0.4700000000000003,0.0001408410548261591,0.4700000000000003,0.0002826139085101567
0.4800000000000003,1.641977833704347e-05,0.4800000000000003,0.0001659460482731795,0.4800000000000003,0.0003329201705177994
0.4900000000000003,1.925493743877171e-05,0.4900000000000003,0.0001944661042853782,0.4900000000000003,0.0003900510729950679
0.5000000000000002,2.245769878712801e-05,0.5000000000000002,0.0002266499431205439,0.5000000000000002,0.0004544996154996976
0.5100000000000002,2.605173264741481e-05,0.5100000000000002,0.0002627271813719078,0.5100000000000002,0.0005267200483032443
