s11 (Lg=8.3e-09) X,s11 (Lg=8.3e-09) Y
4000000000,-0.216815825136761
4010000000,-0.2182008594965395
4020000000,-0.2196043218617819
4030000000,-0.2210265280378849
4040000000,-0.2224678000238279
4050000000,-0.2239284661359545
4060000000,-0.2254088611533597
4070000000,-0.2269093264403002
4080000000,-0.2284302101048132
4090000000,-0.2299718671254514
4100000000,-0.2315346595115509
4110000000,-0.2331189564484091
4120000000,-0.2347251344514604
4130000000,-0.2363535775270112
4140000000,-0.2380046773318728
4150000000,-0.2396788333398224
4160000000,-0.2413764530083944
4170000000,-0.2430979519570767
4180000000,-0.2448437541400236
4190000000,-0.2466142920319852
4200000000,-0.2484100068107144
4210000000,-0.2502313485470903
4220000000,-0.2520787764063884
4230000000,-0.2539527588405239
4240000000,-0.255853773792745
4250000000,-0.2577823089148987
4260000000,-0.2597388617724438
4270000000,-0.2617239400712824
4280000000,-0.263738061875047
4290000000,-0.2657817558430965
4300000000,-0.2678555614617231
4310000000,-0.2699600292896897
4320000000,-0.2720957211968382
4330000000,-0.2742632106324472
4340000000,-0.2764630828707024
4350000000,-0.2786959352839646
4360000000,-0.2809623776176354
4370000000,-0.2832630322667323
4380000000,-0.2855985345583249
4390000000,-0.2879695330514392
4400000000,-0.2903766898366105
4410000000,-0.2928206808434509
4420000000,-0.2953021961607831
4430000000,-0.2978219403470827
4440000000,-0.3003806327829175
4450000000,-0.3029790079939864
4460000000,-0.3056178160146552
4470000000,-0.3082978227322472
4480000000,-0.3110198102670644
4490000000,-0.3137845773382232
4500000000,-0.3165929396613657
4510000000,-0.3194457303336574
4520000000,-0.3223438002369541
4530000000,-0.3252880184803585
4540000000,-0.3282792727970035
4550000000,-0.3313184699959923
4560000000,-0.334406536412814
4570000000,-0.3375444183715399
4580000000,-0.3407330826574775
4590000000,-0.3439735169887528
4600000000,-0.347266730548373
4610000000,-0.3506137544666668
4620000000,-0.3540156423465735
4630000000,-0.3574734708325545
4640000000,-0.3609883401229338
4650000000,-0.3645613745736317
4660000000,-0.3681937232585245
4670000000,-0.3718865605787478
4680000000,-0.3756410868689573
4690000000,-0.3794585290452262
4700000000,-0.383340141225243
4710000000,-0.3872872054245546
4720000000,-0.3913010322277768
4730000000,-0.3953829614703187
4740000000,-0.3995343629979957
