S21 (M=20) X,S21 (M=20) Y,S21 (M=10) X,S21 (M=10) Y,S21 (M=1) X,S21 (M=1) Y
0,-27.81832982308996,0,-33.88070213762829,0,-53.96359048568339
0.011,-27.81705990567119,0.011,-33.87862955729955,0.011,-53.96046851649299
0.022,-27.81543815658278,0.022,-33.87620384171561,0.022,-53.95700429189289
0.033,-27.81338575934041,0.033,-33.87334498311317,0.033,-53.95311902304044
0.044,-27.81080434966641,0.044,-33.86995372801601,0.044,-53.94871587697962
0.05500000000000001,-27.80757126663428,0.05500000000000001,-33.86590696291926,0.05500000000000001,-53.94367575492811
0.066,-27.80356421785946,0.066,-33.86107364781549,0.066,-53.93786152798249
0.077,-27.79857063431746,0.077,-33.8552495602553,0.077,-53.93108768225204
0.08799999999999999,-27.79234308668578,0.08799999999999999,-33.84819142022624,0.08799999999999999,-53.92312626613066
0.09899999999999999,-27.78457850255763,0.09899999999999999,-33.83959984974007,0.09899999999999999,-53.9136950830483
0.11,-27.77489106542394,0.11,-33.82909472972898,0.11,-53.90243726593786
0.121,-27.76278558550458,0.121,-33.81618913632907,0.121,-53.88889688272248
0.132,-27.74762068791874,0.132,-33.80025317044498,0.132,-53.87248473166682
0.143,-27.72855749346611,0.143,-33.78046330455316,0.143,-53.85242986699347
0.154,-27.70448758491931,0.154,-33.75573092083862,0.154,-53.82771029133765
0.165,-27.67393145497341,0.165,-33.72460100099305,0.165,-53.79695325464481
0.176,-27.63489520217408,0.176,-33.68510830355867,0.176,-53.75829148253077
0.187,-27.58466894489919,0.187,-33.63457376694176,0.187,-53.70915626494708
0.198,-27.51954534773297,0.198,-33.56931838177207,0.198,-53.64598169095537
0.209,-27.43443104899146,0.209,-33.48426569832313,0.209,-53.56378686372521
0.2200000000000001,-27.3223186527368,0.2200000000000001,-33.3723987247086,0.2200000000000001,-53.45559652813218
0.2310000000000001,-27.17358742062713,0.2310000000000001,-33.22403790670549,0.2310000000000001,-53.31166231521771
0.2420000000000001,-26.97512679617254,0.2420000000000001,-33.02593506816641,0.2420000000000001,-53.11848014190488
0.2530000000000001,-26.70938247891869,0.2530000000000001,-32.76028902493056,0.2530000000000001,-52.85772278034386
0.2640000000000001,-26.35370089303544,0.2640000000000001,-32.4040741357034,0.2640000000000001,-52.50551490620107
0.2750000000000001,-25.88082886450357,0.2750000000000001,-31.92956599044774,0.2750000000000001,-52.0330007547091
0.2860000000000001,-25.26182749482905,0.2860000000000001,-31.30735378465543,0.2860000000000001,-51.40957253810977
0.2970000000000001,-24.47217827733349,0.2970000000000001,-30.51261681208404,0.2970000000000001,-50.60955031828283
0.3080000000000001,-23.4997850129632,0.3080000000000001,-29.53329172772315,0.3080000000000001,-49.62077313924986
0.3190000000000001,-22.35096510638951,0.3190000000000001,-28.37609311324209,0.3190000000000001,-48.45074853941621
0.3300000000000001,-21.0504513380317,0.3300000000000001,-27.06635379499167,0.3300000000000001,-47.12616560397691
0.3410000000000001,-19.63515152628855,0.3410000000000001,-25.64154093484976,0.3410000000000001,-45.68585345465814
0.3520000000000001,-18.14544288303086,0.3520000000000001,-24.14238696107041,0.3520000000000001,-44.17150592704951
0.3630000000000002,-16.61820994165716,0.3630000000000002,-22.60590230675461,0.3630000000000002,-42.62059761288303
0.3740000000000002,-15.08336611099827,0.3740000000000002,-21.06195867332286,0.3740000000000002,-41.06307918535705
0.3850000000000002,-13.56329400921356,0.3850000000000002,-19.53280776711891,0.3850000000000002,-39.52105951108513
0.3960000000000002,-12.07386873840157,0.3960000000000002,-18.03416344328188,0.3960000000000002,-38.01001591106554
0.4070000000000002,-10.62598515056788,0.4070000000000002,-16.57676300554634,0.4070000000000002,-36.54043170437894
0.4180000000000002,-9.227003382233068,0.4180000000000002,-15.16782902577237,0.4180000000000002,-35.11929562024736
0.4290000000000002,-7.881891237401542,0.4290000000000002,-13.8122182102245,0.4290000000000002,-33.75126630359262
0.4400000000000002,-6.594034196942991,0.4400000000000002,-12.51323336434653,0.4400000000000002,-32.43948947863674
0.4510000000000002,-5.365762181439584,0.4510000000000002,-11.27315028995317,0.4510000000000002,-31.18612571754956
0.4620000000000002,-4.198662921765829,0.4620000000000002,-10.09353055088595,0.4620000000000002,-29.99266236673702
0.4730000000000003,-3.093748279707587,0.4730000000000003,-8.975386697632802,0.4730000000000003,-28.86007704725778
0.4840000000000003,-2.051528252816047,0.4840000000000003,-7.919254592828943,0.4840000000000003,-27.78890726253794
0.4950000000000003,-1.072034481860445,0.4950000000000003,-6.925214498249368,0.4950000000000003,-26.77926793389288
0.5060000000000002,-0.1548232821625797,0.5060000000000002,-5.992890864714183,0.5060000000000002,-25.83084629979853
0.5170000000000002,0.7010218249124845,0.5170000000000002,-5.121450860570133,0.5170000000000002,-24.94289461479751
0.5280000000000002,1.49687635677857,0.5280000000000002,-4.309613564723779,0.5280000000000002,-24.11423277531414
0.5390000000000003,2.234544695524773,0.5390000000000003,-3.55567532793132,0.5390000000000003,-23.34326685494649
0.5500000000000003,2.916213156828975,0.5500000000000003,-2.857551994810055,0.5500000000000003,-22.62802475700517
0.5610000000000003,3.544389219334891,0.5610000000000003,-2.212835405046924,0.5610000000000003,-21.96620687495269
0.5720000000000003,4.121831628304384,0.5720000000000003,-1.618859724781756,0.5720000000000003,-21.35524766573961
0.5830000000000003,4.65147666257762,0.5830000000000003,-1.072772481750721,0.5830000000000003,-20.79238320612493
0.5940000000000003,5.136365519048205,0.5940000000000003,-0.571605403263193,0.5940000000000003,-20.2747198672985
0.6050000000000003,5.579576859118554,0.6050000000000003,-0.1123409964406085,0.6050000000000003,-19.79929992167641
0.6160000000000003,5.984167384426048,0.6160000000000003,0.3080282725515223,0.6160000000000003,-19.36316090842453
0.6270000000000003,6.35312210761024,0.6270000000000003,0.6924496224797385,0.6270000000000003,-18.96338669606239
0.6380000000000003,6.689314921193377,0.6380000000000003,1.043769724282552,0.6380000000000003,-18.59714922071014
0.6490000000000004,6.995479230263464,0.6490000000000004,1.364704128375817,0.6490000000000004,-18.26174074423768
0.6600000000000004,7.274187827590682,0.6600000000000004,1.657815825132056,0.6600000000000004,-17.9545971236134
0.6710000000000004,7.527840836219275,0.6710000000000004,1.925501849132618,0.6710000000000004,-17.67331301055124
0.6820000000000004,7.758660384501205,0.6820000000000004,2.169986672779558,0.6820000000000004,-17.41565013572098
0.6930000000000004,7.968690649622337,0.6930000000000004,2.393381994562077,0.6930000000000004,-17.17951258434265
0.7040000000000004,8.159858694893581,0.7040000000000004,2.597438303636371,0.7040000000000004,-16.96305782838141
0.7150000000000004,8.333747626071595,0.7150000000000004,2.783941525484341,0.7150000000000004,-16.76451632286687
0.7260000000000004,8.491968985033594,0.7260000000000004,2.954451721890994,0.7260000000000004,-16.58230492279292
0.7370000000000004,8.635922081992774,0.7370000000000004,3.110383060289818,0.7370000000000004,-16.41498624443392
0.7480000000000004,8.766870395453678,0.7480000000000004,3.253014386702514,0.7480000000000004,-16.26125855137139
0.7590000000000005,8.885952772467757,0.7590000000000005,3.383500099932044,0.7590000000000005,-16.11994522960348
0.7700000000000005,8.994194475225367,0.7700000000000005,3.502880926407666,0.7700000000000005,-15.9899842486265
0.7810000000000005,9.092517794507124,0.7810000000000005,3.612094336248206,0.7810000000000005,-15.87041789146895
0.7920000000000005,9.181752069730884,0.7920000000000005,3.711984425666136,0.7920000000000005,-15.76038294910222
0.8030000000000005,9.262643019912852,0.8030000000000005,3.803311157326763,0.8030000000000005,-15.659101504958
0.8140000000000005,9.335861338720148,0.8140000000000005,3.886758901113833,0.8140000000000005,-15.56587238134166
0.8250000000000005,9.402010542652823,0.8250000000000005,3.96294425548678,0.8250000000000005,-15.48006327896624
0.8360000000000005,9.461634086765745,0.8360000000000005,4.032423156686447,0.8360000000000005,-15.40110361127707
0.8470000000000005,9.515221779488858,0.8470000000000005,4.095697301677213,0.8470000000000005,-15.32847801451054
0.8580000000000005,9.563215538939669,0.8580000000000005,4.153219922801121,0.8580000000000005,-15.26172050061525
0.8690000000000005,9.606014539225985,0.8690000000000005,4.205400959257497,0.8690000000000005,-15.20040921163328
0.8800000000000006,9.643979797879535,0.8800000000000006,4.252611674008878,0.8800000000000006,-15.14416172955526
0.8910000000000006,9.677438255774151,0.8910000000000006,4.295188765579289,0.8910000000000006,-15.09263089395177
0.9020000000000006,9.706686399404333,0.9020000000000006,4.333438023254727,0.9020000000000006,-15.04550107999386
0.9130000000000006,9.731993472858582,0.9130000000000006,4.367637572039555,0.9130000000000006,-15.00248489116076
0.9240000000000006,9.753604323624717,0.9240000000000006,4.398040750816224,0.9240000000000006,-14.96332022349094
0.9350000000000006,9.771741922848658,0.9350000000000006,4.424878663846634,0.9350000000000006,-14.92776766130453
0.9460000000000006,9.786609597038167,0.9460000000000006,4.448362442273989,0.9460000000000006,-14.8956081676375
0.9570000000000006,9.798393004622941,0.9570000000000006,4.468685248808665,0.9570000000000006,-14.86664103600072
0.9680000000000006,9.807261887344554,0.9680000000000006,4.486024055419949,0.9680000000000006,-14.84068207337325
0.9790000000000006,9.813371623212348,0.9790000000000006,4.500541220675002,0.9790000000000006,-14.81756198748529
