noise figure X,noise figure Y
10000000,13.64088762761723
12589254.11794167,11.96261455877047
15848931.92461114,10.40504863133329
19952623.1496888,8.999789166081106
25118864.3150958,7.775014482670357
31622776.6016838,6.74857959972542
39810717.05534974,5.922691331655445
50118723.36272725,5.283199226207251
63095734.44801936,4.80394480996651
79432823.47242819,4.453591900349513
100000000.0000001,4.201672454647913
125892541.1794168,4.022144035137163
158489319.2461115,3.894552237633854
199526231.4968881,3.803702252349495
251188643.1509582,3.738706568405654
316227766.0168382,3.691942448147626
398107170.5534976,3.658157376219615
501187233.6272728,3.633787994927282
630957344.480194,3.616481160014202
794328234.7242825,3.604783537298468
1000000000.000001,3.597968286897392
1258925411.794169,3.595978024951639
1584893192.461116,3.599550654593925
1995262314.968883,3.610285017437222
2511886431.509584,3.631173243737325
3162277660.168385,3.667190835695596
3981071705.534979,3.726317125740874
5000000000,3.819861971141269
