compressionCurves X,compressionCurves Y
-30,-24.95877430797365
-28,-22.95823817765096
-26,-20.95832715425226
-24,-18.95846623690746
-22,-16.95866166969363
-20,-14.95892910680701
-18,-12.95924771665996
-16,-10.95952538472723
-14,-8.959477417049186
-12,-6.958484585737892
-10,-4.956237921475491
-8,-2.963515628796074
-6,-1.054788141913601
-4,0.6511889782386469
-2,2.011953465404702
0,2.892101752904804
2,3.427512789176951
4,3.760934270690068
6,3.97109320297454
8,4.109404878956987
10,4.19623110544843
