ac_Tn (fin1=7e+09) X,ac_Tn (fin1=7e+09) Y
5000000000,507.3682924528937
5200000000,344.7855790660626
5400000000,243.574963583137
5600000000,180.9171675234619
5800000000,142.6031934338827
6000000000,119.7465861309749
6200000000,106.7823178095985
6400000000,100.1422529094669
6600000000,97.57266859735002
6800000000,97.65968326449662
7000000000,99.58599225953081
7200000000,103.0196450507703
7400000000,108.035408603963
7600000000,115.0982636258669
7800000000,125.1228869476017
8000000000,139.547997969303
8200000000,160.5649328628377
8400000000,191.4561664169687
8600000000,237.1658416993193
8800000000,305.4310079906666
9000000000,408.3763234881026
