leafValue( VT("/vdd_LNA_stg1") "fin1" 7e+09 )*leafValue( IT("/ISUP_IB/VSUP_LNA_STG1/MINUS") "fin1" 7e+09 ) X,leafValue( VT("/vdd_LNA_stg1") "fin1" 7e+09 )*leafValue( IT("/ISUP_IB/VSUP_LNA_STG1/MINUS") "fin1" 7e+09 ) Y
0,0.01254540924112909
5.000000000000001e-12,0.01254540922997228
1.333333333333333e-11,0.01254540888210292
2.166666666666667e-11,0.01254540879811585
3e-11,0.01254541670504689
3.833333333333333e-11,0.01254540995650442
4.666666666666666e-11,0.01254538137657793
5.499999999999999e-11,0.01254542233160833
6.333333333333332e-11,0.01254547618960464
7.166666666666665e-11,0.01254537019203745
7.999999999999998e-11,0.0125452733174675
8.833333333333331e-11,0.01254541116357168
9.666666666666664e-11,0.01254558803374232
1.05e-10,0.01254548775921964
1.133333333333333e-10,0.01254522828334721
1.216666666666666e-10,0.01254518859154004
1.3e-10,0.01254545948706029
1.383333333333333e-10,0.01254576284370453
1.466666666666666e-10,0.01254578473636173
1.55e-10,0.01254548699103525
1.633333333333333e-10,0.01254509645333974
1.716666666666666e-10,0.01254488408507923
1.799999999999999e-10,0.01254498074445575
1.883333333333333e-10,0.01254533755995117
1.966666666666666e-10,0.01254575973083195
2.049999999999999e-10,0.01254598824729841
2.133333333333333e-10,0.01254586055176253
2.216666666666666e-10,0.01254544510087656
2.299999999999999e-10,0.01254502267855876
2.383333333333333e-10,0.01254487665176216
2.466666666666666e-10,0.01254508002057495
2.55e-10,0.01254543975273051
2.633333333333334e-10,0.01254568013171755
2.711491323901726e-10,0.01254564953760438
2.781611764175493e-10,0.01254567242684769
2.850522491900559e-10,0.0125458265757443
2.929573296419308e-10,0.01254575462322318
3.012906629752642e-10,0.01254499813207981
3.082817049827253e-10,0.01254452346116695
3.144059080029173e-10,0.01254471437319634
3.202871484493866e-10,0.01254546754355704
3.270685016721684e-10,0.0125462000824041
3.351876718675723e-10,0.01254585969377005
3.429294598123847e-10,0.01254578895726529
3.490878509570655e-10,0.01254565812846514
3.547869511144108e-10,0.0125447938459876
3.608214552219614e-10,0.01254344580956127
3.687699604119894e-10,0.01254380974997995
3.771032937453228e-10,0.01254801900359262
3.840335608449792e-10,0.01254936522126433
3.902884607080593e-10,0.01254640623804295
3.964263056446323e-10,0.01254183075118217
4.027267324088515e-10,0.01254031256452046
4.104217015104751e-10,0.01254465535514452
4.187550348438084e-10,0.01254915737602149
