ac_NF (fin1=7e+09) X,ac_NF (fin1=7e+09) Y
5000000000,4.313197329713097
5200000000,3.334594801939069
5400000000,2.591150138392202
5600000000,2.05769246228938
5800000000,1.695958664655773
6000000000,1.464880693261743
6200000000,1.328133207183537
6400000000,1.256389931010466
6600000000,1.228305390346114
6800000000,1.229259403139193
7000000000,1.250325605527205
7200000000,1.287624632861182
7400000000,1.341540424883252
7600000000,1.416343713630334
7800000000,1.520350801025955
8000000000,1.665773643335449
8200000000,1.86929783600292
8400000000,2.152128924513729
8600000000,2.539496177312949
8800000000,3.060429929565135
9000000000,3.743990999366508
