pss_vout_I_pcb (fin1=7e+09) X,pss_vout_I_pcb (fin1=7e+09) Y
1e-05,0.00622932795997265
1.58489e-05,0.009872001091534455
2.51189e-05,0.0156428510075256
3.98107e-05,0.02477938948524093
6.30957e-05,0.03922136372018294
0.0001,0.06195570273693127
0.000158489,0.09736333971395637
0.000251189,0.1510703859083219
0.000398107,0.2286643555609237
0.000630957,0.3342221889239222
0.001,0.4645791962899791
0.00158489,0.5619017448851632
0.00251189,0.5927753891329786
0.00398107,0.6088256582111182
0.00630957,0.6077096980953077
0.01,0.6024355928319547
