leafValue( IT("/ISUP_IB/VSUP_LO/MINUS") "fin1" 7e+09 )*leafValue( VT("/vdd_LO") "fin1" 7e+09 ) X,leafValue( IT("/ISUP_IB/VSUP_LO/MINUS") "fin1" 7e+09 )*leafValue( VT("/vdd_LO") "fin1" 7e+09 ) Y
0,0.01006786419771392
5.000000000000001e-12,0.01006786398181048
1.333333333333333e-11,0.01006785854963734
2.166666666666667e-11,0.01006784149096456
3e-11,0.01006795158602112
3.833333333333333e-11,0.01006810491604956
4.666666666666666e-11,0.01006792102821912
5.499999999999999e-11,0.01006790666304241
6.333333333333332e-11,0.01006853319630744
7.166666666666665e-11,0.01006853220613191
7.999999999999998e-11,0.01006672539383598
8.833333333333331e-11,0.0100633009470001
9.666666666666664e-11,0.01005865277708146
1.05e-10,0.01005178187203094
1.133333333333333e-10,0.01004068660633324
1.216666666666666e-10,0.01002382776602635
1.3e-10,0.01000156292258824
1.383333333333333e-10,0.009977114401390236
1.466666666666666e-10,0.009955911126076845
1.55e-10,0.009943676715083517
1.633333333333333e-10,0.009944010621790138
1.716666666666666e-10,0.009956689203247056
1.799999999999999e-10,0.009977588717424664
1.883333333333333e-10,0.01000058095030659
1.966666666666666e-10,0.01002034821409383
2.049999999999999e-10,0.01003450067786219
2.133333333333333e-10,0.01004403106900089
2.216666666666666e-10,0.01005212757565219
2.299999999999999e-10,0.01006237834399894
2.383333333333333e-10,0.01007710411346861
2.466666666666666e-10,0.01009640279681828
2.55e-10,0.01011788754437347
2.633333333333334e-10,0.01013737092854747
2.711491323901726e-10,0.01014899561469285
2.781611764175493e-10,0.01015327332798019
2.850522491900559e-10,0.01015446787446288
2.929573296419308e-10,0.0101545677900637
3.012906629752642e-10,0.01015053548590037
3.082817049827253e-10,0.0101439330696146
3.144059080029173e-10,0.01013802957273691
3.202871484493866e-10,0.01013463662115876
3.270685016721684e-10,0.01013359043155273
3.351876718675723e-10,0.01013385485867961
3.429294598123847e-10,0.01014441078698291
3.490878509570655e-10,0.01016110205075691
3.547869511144108e-10,0.01017495355986166
3.608214552219614e-10,0.0101815260344909
3.687699604119894e-10,0.01017634002877516
3.771032937453228e-10,0.01017856055836303
3.840335608449792e-10,0.0101907089418017
3.902884607080593e-10,0.0102021286206984
3.964263056446323e-10,0.01020895791980049
4.027267324088515e-10,0.01021493171021727
4.104217015104751e-10,0.01023189061786378
4.187550348438084e-10,0.0102607836227816
4.257076353729579e-10,0.01027722590016985
4.31961952856368e-10,0.01028497870490466
4.375339461210434e-10,0.01029256352661091
4.429575009739622e-10,0.0103040659898319
4.499625065614238e-10,0.01032584116667291
4.580287896592767e-10,0.01034650540245058
4.645271421473562e-10,0.01035122107188729
4.701044964159141e-10,0.01035056408571704
4.750507217693737e-10,0.01035132659107101
4.801123876399838e-10,0.01035688439977804
4.859115539344675e-10,0.01036533751955604
4.925401227490506e-10,0.01037456696349284
4.993789923941769e-10,0.01038322309989697
5.053565721852073e-10,0.01039332599243356
5.106782000132837e-10,0.01040570441655346
5.157161744701438e-10,0.0104189153487207
5.212899244447621e-10,0.01042812051408018
5.274782378015698e-10,0.01043666492260558
5.345113518116184e-10,0.01044681753831525
5.41905497310064e-10,0.01046045280430814
5.482444492754204e-10,0.01047374936648097
5.54195628118364e-10,0.01048670387617229
5.600345072598246e-10,0.01049987194383753
5.659339357818584e-10,0.01051470583512872
5.712447833601256e-10,0.01053074489008214
5.758302048023618e-10,0.01054623696949864
5.797400518484238e-10,0.01056202778788695
5.832981786305623e-10,0.01057803178697349
5.875532362216639e-10,0.01060015631974205
5.929828241872456e-10,0.01063168598511306
5.978655469975823e-10,0.01065495255660964
6.036081819219565e-10,0.01068134888006185
6.103466387189242e-10,0.01070756964724366
6.174493366196511e-10,0.01073083122419198
6.245238825550821e-10,0.01074746609123104
6.304566226301085e-10,0.01075797807069625
6.356810459492434e-10,0.01076701614588384
6.405657742780058e-10,0.01077780100598327
6.461953609328096e-10,0.01079270454655152
6.517055191626044e-10,0.01080819296007744
