sp_S11 (fin1=7e+09) X,sp_S11 (fin1=7e+09) Y
4000000000,-1.21013998777434
4100000000,-1.311425496383976
4200000000,-1.427457686748326
4300000000,-1.560994462935575
4400000000,-1.715894569503398
4500000000,-1.895366923815735
4600000000,-2.105196995487313
4700000000,-2.351106893567561
4800000000,-2.640363200916132
4900000000,-2.981056455709978
5000000000,-3.384592328043786
5100000000,-3.861990559708674
5200000000,-4.429865344882874
5300000000,-5.104807145705451
5400000000,-5.906139406307021
5500000000,-6.861775760245075
5600000000,-8.002531164324026
5700000000,-9.369912373671399
5800000000,-11.01518901992111
5900000000,-13.01284602192445
6000000000,-15.45522388622505
6100000000,-18.39870308215814
6200000000,-21.58897086862643
6300000000,-23.57013773533438
6400000000,-22.94576580005202
6500000000,-21.19862136236078
6600000000,-19.59345790835766
6700000000,-18.35316249809514
6800000000,-17.4449986085948
6900000000,-16.82360648810364
7000000000,-16.44030688366773
7100000000,-16.26988359659436
7200000000,-16.30960656574812
7300000000,-16.56767806853789
7400000000,-17.07102375113202
7500000000,-17.89571341391335
7600000000,-19.17516437864417
7700000000,-21.14682141408916
7800000000,-24.12079807772509
7900000000,-26.87505648122772
8000000000,-24.51053212565858
8100000000,-20.59179537749359
8200000000,-17.676013120802
8300000000,-15.55438040205578
8400000000,-13.92866876156765
8500000000,-12.61863987585462
8600000000,-11.52116716709024
8700000000,-10.57036203078991
8800000000,-9.725297897266064
8900000000,-8.962243158473749
9000000000,-8.266196651619332
9100000000,-7.627587586496228
9200000000,-7.03993849671649
9300000000,-6.499043199598194
9400000000,-6.001133263429574
9500000000,-5.543368800534417
9600000000,-5.123298519196436
9700000000,-4.737912442297509
9800000000,-4.38503835403266
9900000000,-4.062149083584968
10000000000,-3.766811017530661
