sp_NF_dB (Tdiff_R=0) X,sp_NF_dB (Tdiff_R=0) Y
4000000000,6.674139703095511
4100000000,6.312002704922604
4200000000,5.960653346082479
4300000000,5.620615924602268
4400000000,5.293026217029335
4500000000,4.979072249544712
4600000000,4.679324725524403
4700000000,4.395001774935271
4800000000,4.127086879864192
4900000000,3.876364315118745
5000000000,3.643365855186984
5100000000,3.428803130898745
5200000000,3.232652610753922
5300000000,3.055149923795395
5400000000,2.896800298304592
5500000000,2.756510432963734
5600000000,2.634539451284079
5700000000,2.52970297415145
5800000000,2.441019698735399
5900000000,2.367869252121389
6000000000,2.309549380783015
6100000000,2.264158139928272
6200000000,2.231518239393157
6300000000,2.209763279137405
6400000000,2.198055666773948
6500000000,2.195276825930857
6600000000,2.200710074103348
6700000000,2.213231177879942
6800000000,2.232211420008267
6900000000,2.256934171913628
7000000000,2.286660507312537
7100000000,2.321357832338283
7200000000,2.360098748249384
7300000000,2.402938538867667
7400000000,2.449492684921127
7500000000,2.500025781648933
7600000000,2.554314414177933
7700000000,2.612329409149388
7800000000,2.674428309034908
7900000000,2.740821196519413
8000000000,2.811718918227793
8100000000,2.887495041245968
8200000000,2.968592649994038
8300000000,3.055116993440012
8400000000,3.147980531951987
8500000000,3.24711450918663
8600000000,3.35305760052742
8700000000,3.46635810639035
8800000000,3.587602934184627
8900000000,3.716461583179798
9000000000,3.853896009762784
9100000000,3.999705253094583
9200000000,4.154254325682618
9300000000,4.317746931375391
9400000000,4.490195711641892
9500000000,4.671257166084516
9600000000,4.861219262132566
9700000000,5.05977885302888
9800000000,5.26666228069111
9900000000,5.481440408109089
10000000000,5.703477203947385
