sp_S21_dB (Tdiff_R=0) X,sp_S21_dB (Tdiff_R=0) Y
4000000000,8.855715081016019
4100000000,9.37668650091333
4200000000,9.899327757764294
4300000000,10.42337622280225
4400000000,10.94705137963351
4500000000,11.46853053388987
4600000000,11.9858462675787
4700000000,12.49585205112391
4800000000,12.99447356271072
4900000000,13.4775347963539
5000000000,13.93984220685623
5100000000,14.37563422164841
5200000000,14.77923349021201
5300000000,15.14409032308398
5400000000,15.46395417499486
5500000000,15.7344923921187
5600000000,15.95163064781184
5700000000,16.11434619082489
5800000000,16.22333569267969
5900000000,16.28013178216786
6000000000,16.28820629718706
6100000000,16.25375492825013
6200000000,16.18181947127597
6300000000,16.07932964049737
6400000000,15.95206876748967
6500000000,15.80543845466068
6600000000,15.64403868783975
6700000000,15.47221269127506
6800000000,15.29315380820597
6900000000,15.10972082584499
7000000000,14.92386834381008
7100000000,14.73641997549901
7200000000,14.54873492261322
7300000000,14.36096528942252
7400000000,14.17329219367938
7500000000,13.98531894795155
7600000000,13.79654381524279
7700000000,13.60630669203318
7800000000,13.41351356908947
7900000000,13.21709520128626
8000000000,13.01609745520762
8100000000,12.80933562707666
8200000000,12.59538123662298
8300000000,12.37329263322536
8400000000,12.14150045233755
8500000000,11.89947471104008
8600000000,11.64633785726563
8700000000,11.38109034844167
8800000000,11.10309671496216
8900000000,10.81257847436924
9000000000,10.50884551394774
9100000000,10.19237528794388
9200000000,9.863347254159843
9300000000,9.522195569094682
9400000000,9.169466905786868
9500000000,8.806495734805676
9600000000,8.433503188852715
9700000000,8.05194009859596
9800000000,7.66253505419357
9900000000,7.266483720643869
10000000000,6.865236945106764
