ac_F (Tdiff_R=-288.5) X,ac_F (Tdiff_R=-288.5) Y
10000000,23.62132875379438
12589254.11794167,16.03624639849156
15848931.92461114,11.20228901109537
19952623.1496888,8.11393038338713
25118864.3150958,6.134795420042869
31622776.6016838,4.861782853202235
39810717.05534974,4.039283264119581
50118723.36272725,3.505002007490449
63095734.44801936,3.155733784655882
79432823.47242819,2.925710710509827
100000000.0000001,2.772929129838876
125892541.1794168,2.670484856429082
158489319.2461115,2.601091325549849
199526231.4968881,2.553625691336072
251188643.1509582,2.520809635406438
316227766.0168382,2.498048773435148
398107170.5534976,2.482332256944298
501187233.6272728,2.471790975745765
630957344.480194,2.465359814384823
794328234.7242825,2.462613743537115
1000000000.000001,2.463731785771257
1258925411.794169,2.46958526390338
1584893192.461116,2.48198662528155
1995262314.968883,2.504182855727092
2511886431.509584,2.541723265725312
3162277660.168385,2.604155238508918
3981071705.534979,2.708246235119003
5000000000,2.882313470684934
