pnoise_F (fin1=7e+09) X,pnoise_F (fin1=7e+09) Y
10000000,1.967444411398168
12589254.11794167,1.96260428674906
15848931.92461114,1.95939674364031
19952623.1496888,1.957155681962304
25118864.3150958,1.955417980738648
31622776.6016838,1.953826764633222
39810717.05534974,1.952058246678716
50118723.36272725,1.9497600010989
63095734.44801936,1.946495905412812
79432823.47242819,1.941840764882883
100000000.0000001,1.934983284401614
125892541.1794168,1.925065872118973
158489319.2461115,1.911514901324873
199526231.4968881,1.893847794579361
251188643.1509582,1.872860497321145
316227766.0168382,1.849787783811504
398107170.5534976,1.826880001001945
501187233.6272728,1.806697065116886
630957344.480194,1.791809068951534
794328234.7242825,1.785265918370502
1000000000.000001,1.791396172029087
1258925411.794169,1.817362773242132
1584893192.461116,1.877630825516868
2000000000,2.014942264697845
