pnoise_F (fin1=7e+09) X,pnoise_F (fin1=7e+09) Y
10000000,1.83699154946085
12589254.11794167,1.835731435734953
15848931.92461114,1.834903555877287
19952623.1496888,1.834336434519726
25118864.3150958,1.833917438344928
31622776.6016838,1.833574799280385
39810717.05534974,1.833222704954153
50118723.36272725,1.832808373678953
63095734.44801936,1.832227094707986
79432823.47242819,1.831355179150164
100000000.0000001,1.830060869382452
125892541.1794168,1.828208102877616
158489319.2461115,1.825492080248095
199526231.4968881,1.82189507817067
251188643.1509582,1.817196183796176
316227766.0168382,1.811697943446803
398107170.5534976,1.806263958404592
501187233.6272728,1.802264048307217
630957344.480194,1.8021378551153
794328234.7242825,1.809356782381155
1000000000.000001,1.82983857959946
1258925411.794169,1.874810645875866
1584893192.461116,1.969182182201544
2000000000,2.190408805156758
