pac_vo_diff_I_mixer_dB (fin1=7e+09) X,pac_vo_diff_I_mixer_dB (fin1=7e+09) Y
10000000,48.90462165241685
110000000,51.13793475253202
210000000,53.20837886293729
310000000,55.02297390087038
410000000,56.4411642325131
510000000,57.35518904866481
610000000,57.75061230965701
710000000,57.71782572224446
810000000,57.39668863842095
910000000,56.91775591882214
1010000000,56.38164388597702
1110000000,55.85961635247418
1210000000,55.39740479221074
1310000000,55.02759663341767
1410000000,54.770013120873
1510000000,54.63074392946137
1610000000,54.60629490328776
1710000000,54.66924430763931
1810000000,54.7635428723924
1910000000,54.78411409061698
2010000000,54.5750523304191
2110000000,53.96773103757016
2210000000,52.86403744111428
2310000000,51.30197883255271
2410000000,49.41694840831079
2510000000,47.34758808351359
2610000000,45.19906557500364
2710000000,43.0350745848223
2810000000,40.8834889633988
2910000000,38.7441946974194
3010000000,36.57954824233283
3110000000,34.32796852298209
3210000000,31.91067067362395
3310000000,29.26800913864417
3410000000,26.39681847652056
3510000000,23.35553035824191
3610000000,20.23068337483986
3710000000,17.10694726396321
3810000000,14.03914311718706
3910000000,11.06367494048317
4000000000,8.478669631829691
