pac_vo_diff_I_mixer_dB (fin1=7e+09) X,pac_vo_diff_I_mixer_dB (fin1=7e+09) Y
10000000,51.21260202721218
110000000,53.31633936694412
210000000,55.14554219878718
310000000,56.57973567660059
410000000,57.50870912817245
510000000,57.91708906940932
610000000,57.89501109859665
710000000,57.58225562408264
810000000,57.10937917951887
910000000,56.57700288698787
1010000000,56.0561662332309
1110000000,55.5926939318707
1210000000,55.21893142443898
1310000000,54.95454513637715
1410000000,54.80586460382769
1510000000,54.76920619727374
1610000000,54.81679946895298
1710000000,54.892323226243
1810000000,54.89057733894657
1910000000,54.65541530525358
2010000000,54.01782675551252
2110000000,52.87943932634212
2210000000,51.2787291787554
2310000000,49.35067433404669
2410000000,47.23589172772179
2510000000,45.04301906421556
2610000000,42.83956992237115
2710000000,40.66583574372126
2810000000,38.5326650631703
2910000000,36.42890484070824
3010000000,34.31432323643084
3110000000,32.11884680517383
3210000000,29.75928153179903
3310000000,27.17469096919389
3410000000,24.35957496430321
3510000000,21.37283236869566
3610000000,18.29970599607396
3710000000,15.2244734869675
3810000000,12.20206471711529
3910000000,9.269954234247429
4000000000,6.722097326177203
