pac_vo_diff_I_mixer_dB (fin1=7e+09) X,pac_vo_diff_I_mixer_dB (fin1=7e+09) Y
10000000,56.94544853781085
110000000,57.93934074122785
210000000,58.39323228910772
310000000,58.41506299858768
410000000,58.14118764529159
510000000,57.7009275368025
610000000,57.19443055562412
710000000,56.69246513540753
810000000,56.24088683666712
910000000,55.87156483459717
1010000000,55.60391475753881
1110000000,55.44396333162916
1210000000,55.3878834915275
1310000000,55.40781805702836
1410000000,55.44713670409145
1510000000,55.39979854317177
1610000000,55.10879964961141
1710000000,54.40437146475595
1810000000,53.18727572911327
1910000000,51.49376681819415
2010000000,49.46235175160329
2110000000,47.23191341098294
2210000000,44.91298181619378
2310000000,42.57795776436524
2410000000,40.27611210849912
2510000000,38.03851143635111
2610000000,35.88007229752784
2710000000,33.80996002630917
2810000000,31.81686801421958
2910000000,29.8742431430399
3010000000,27.92944316676051
3110000000,25.90624784698319
3210000000,23.71779292826666
3310000000,21.30073257632966
3410000000,18.64547312716749
3510000000,15.80935892563757
3610000000,12.87776477732338
3710000000,9.936074439106767
3810000000,7.040288229597317
3910000000,4.228039859663197
4000000000,1.78334961208826
