pac_vo_diff_I_mixer_dB (fin1=7e+09) X,pac_vo_diff_I_mixer_dB (fin1=7e+09) Y
10000000,53.41787116682394
110000000,55.28065306439638
210000000,56.72953808390446
310000000,57.67448697367975
410000000,58.09780704795142
510000000,58.08873291881581
610000000,57.78674874019397
710000000,57.32245094349801
810000000,56.79627516179358
910000000,56.27932543330461
1010000000,55.81720110986823
1110000000,55.44233179930359
1210000000,55.17414151584615
1310000000,55.01880986218261
1410000000,54.97289369317176
1510000000,55.00843838446802
1610000000,55.06875441644929
1710000000,55.04838403496371
1810000000,54.79101772443578
1910000000,54.12738061609317
2010000000,52.95874187642185
2110000000,51.32340201103305
2210000000,49.35693848836695
2310000000,47.19938781163474
2410000000,44.96146858007834
2510000000,42.71291732673205
2610000000,40.5000680557664
2710000000,38.34576908050202
2810000000,36.2486875695328
2910000000,34.19468170016262
3010000000,32.13501141330487
3110000000,29.99708766669702
3210000000,27.6959190485544
3310000000,25.16805352500425
3410000000,22.40804826134647
3510000000,19.47406355334368
3610000000,16.45045284454963
3710000000,13.42157625351143
3810000000,10.4433114310164
3910000000,7.55320533614066
4000000000,5.041357859774078
